city,acquisition_source,month,sessions,conversions,revenue,conversion_rate,ad_spend,roas,avg_order_value
Jakarta,Social Media,2024-03,29,4,1230.23,0.1379,357.34,3.44,307.56
Jakarta,Social Media,2024-04,35,5,1423.49,0.1429,408.11,3.49,284.7
Jakarta,Social Media,2024-05,34,5,1545.75,0.1471,420.94,3.67,309.15
Jakarta,Social Media,2024-06,30,4,1155.49,0.1333,315.53,3.66,288.87
Jakarta,Social Media,2024-07,38,5,1417.25,0.1316,323.93,4.38,283.45
Jakarta,Social Media,2024-08,35,5,1489.38,0.1429,413.17,3.6,297.88
Jakarta,Social Media,2024-09,33,5,1439.14,0.1515,372.86,3.86,287.83
Jakarta,Social Media,2024-10,41,6,1696.61,0.1463,430.75,3.94,282.77
Jakarta,Social Media,2024-11,37,5,1513.89,0.1351,410.22,3.69,302.78
Jakarta,Social Media,2024-12,45,7,2074.17,0.1556,527.29,3.93,296.31
Jakarta,Email,2024-01,22,4,1069.74,0.1818,94.34,11.34,267.44
Jakarta,Email,2024-02,25,5,1240.03,0.2,73.06,16.97,248.01
Jakarta,Email,2024-03,25,5,1323.32,0.2,145.89,9.07,264.66
Jakarta,Email,2024-04,29,5,1253.06,0.1724,71.67,17.48,250.61
Jakarta,Email,2024-05,29,6,1527.87,0.2069,142.77,10.7,254.64
Jakarta,Email,2024-06,26,5,1332.12,0.1923,157.64,8.45,266.42
Jakarta,Email,2024-07,31,6,1469.01,0.1935,149.19,9.85,244.84
Jakarta,Email,2024-08,28,5,1324.1,0.1786,146.29,9.05,264.82
Jakarta,Email,2024-09,32,6,1586.63,0.1875,91.34,17.37,264.44
Jakarta,Email,2024-10,34,7,1749.41,0.2059,187.47,9.33,249.92
Jakarta,Email,2024-11,33,6,1587.86,0.1818,104.69,15.17,264.64
Jakarta,Email,2024-12,36,6,1515.82,0.1667,167.51,9.05,252.64
Jakarta,Direct,2024-01,19,2,616.97,0.1053,73.22,8.43,308.49
Jakarta,Direct,2024-02,19,2,599.25,0.1053,70.67,8.48,299.62
Jakarta,Direct,2024-03,20,2,608.61,0.1,35.05,17.36,304.31
Jakarta,Direct,2024-04,21,2,611.61,0.0952,56.53,10.82,305.81
Jakarta,Direct,2024-05,22,2,628.0,0.0909,42.6,14.74,314.0
Jakarta,Direct,2024-06,24,2,649.75,0.0833,56.98,11.4,324.88
Jakarta,Direct,2024-07,25,2,633.86,0.08,47.85,13.25,316.93
Jakarta,Direct,2024-08,21,2,612.64,0.0952,44.09,13.9,306.32
Jakarta,Direct,2024-09,26,2,610.78,0.0769,43.76,13.96,305.39
Jakarta,Direct,2024-10,25,2,610.49,0.08,35.96,16.98,305.25
Jakarta,Direct,2024-11,26,2,634.28,0.0769,71.8,8.83,317.14
Jakarta,Direct,2024-12,34,3,939.32,0.0882,46.99,19.99,313.11
Jakarta,Referral,2024-01,15,2,554.15,0.1333,45.74,12.12,277.07
Jakarta,Referral,2024-02,14,2,544.24,0.1429,61.54,8.84,272.12
Jakarta,Referral,2024-03,18,2,523.05,0.1111,45.03,11.62,261.52
Jakarta,Referral,2024-04,17,2,563.08,0.1176,57.76,9.75,281.54
Jakarta,Referral,2024-05,18,2,529.29,0.1111,27.37,19.34,264.64
Jakarta,Referral,2024-06,17,2,564.79,0.1176,31.12,18.15,282.39
Jakarta,Referral,2024-07,18,2,529.03,0.1111,52.24,10.13,264.51
Jakarta,Referral,2024-08,18,2,554.22,0.1111,27.93,19.84,277.11
Jakarta,Referral,2024-09,20,2,524.24,0.1,41.81,12.54,262.12
Jakarta,Referral,2024-10,18,2,546.69,0.1111,29.26,18.68,273.35
Jakarta,Referral,2024-11,19,2,543.33,0.1053,57.65,9.42,271.67
Jakarta,Referral,2024-12,26,3,826.38,0.1154,96.28,8.58,275.46
Bali,Organic,2024-01,17,2,453.1,0.1176,49.0,9.25,226.55
Bali,Organic,2024-02,16,2,463.91,0.125,38.61,12.02,231.96
Bali,Organic,2024-03,16,2,459.11,0.125,47.57,9.65,229.56
Bali,Organic,2024-04,18,2,442.67,0.1111,24.53,18.05,221.34
Bali,Organic,2024-05,17,2,444.71,0.1176,39.05,11.39,222.35
Bali,Organic,2024-06,17,2,461.66,0.1176,45.91,10.06,230.83
Bali,Organic,2024-07,17,2,454.81,0.1176,35.98,12.64,227.41
Bali,Organic,2024-08,18,2,471.21,0.1111,42.83,11.0,235.6
Bali,Organic,2024-09,21,3,697.36,0.1429,53.44,13.05,232.45
Bali,Organic,2024-10,18,2,464.36,0.1111,50.96,9.11,232.18
Bali,Organic,2024-11,24,3,696.13,0.125,61.42,11.33,232.04
Bali,Organic,2024-12,28,4,880.35,0.1429,70.88,12.42,220.09
Bali,Paid Search,2024-01,14,1,188.4,0.0714,43.94,4.29,188.4
Bali,Paid Search,2024-02,14,1,192.54,0.0714,42.77,4.5,192.54
Bali,Paid Search,2024-03,16,2,362.45,0.125,98.38,3.68,181.22
Bali,Paid Search,2024-04,15,2,363.33,0.1333,90.95,3.99,181.66
Bali,Paid Search,2024-05,15,2,390.38,0.1333,97.72,3.99,195.19
Bali,Paid Search,2024-06,18,2,371.01,0.1111,84.05,4.41,185.5
Bali,Paid Search,2024-07,16,2,399.46,0.125,99.06,4.03,199.73
Bali,Paid Search,2024-08,18,2,386.21,0.1111,108.27,3.57,193.1
Bali,Paid Search,2024-09,20,2,362.19,0.1,84.1,4.31,181.09
Bali,Paid Search,2024-10,17,2,382.87,0.1176,90.91,4.21,191.44
Bali,Paid Search,2024-11,21,2,367.8,0.0952,98.78,3.72,183.9
Bali,Paid Search,2024-12,26,3,588.88,0.1154,175.0,3.37,196.29
Bali,Social Media,2024-01,12,1,196.97,0.0833,58.43,3.37,196.97
Bali,Social Media,2024-02,13,1,185.33,0.0769,51.01,3.63,185.33
Bali,Social Media,2024-03,16,1,198.81,0.0625,57.26,3.47,198.81
Bali,Social Media,2024-04,16,1,202.9,0.0625,57.34,3.54,202.9
Bali,Social Media,2024-05,15,1,191.04,0.0667,49.76,3.84,191.04
Bali,Social Media,2024-06,16,2,399.56,0.125,91.28,4.38,199.78
Bali,Social Media,2024-07,19,2,399.8,0.1053,110.58,3.62,199.9
Bali,Social Media,2024-08,17,2,405.1,0.1176,97.87,4.14,202.55
Bali,Social Media,2024-09,18,2,386.44,0.1111,98.48,3.92,193.22
Bali,Social Media,2024-10,19,2,400.69,0.1053,114.78,3.49,200.34
Bali,Social Media,2024-11,17,2,377.17,0.1176,97.0,3.89,188.59
Bali,Social Media,2024-12,24,2,368.84,0.0833,106.25,3.47,184.42
Bali,Email,2024-01,11,1,193.5,0.0909,21.6,8.96,193.5
Bali,Email,2024-02,12,1,187.01,0.0833,21.76,8.59,187.01
Bali,Email,2024-03,11,1,196.41,0.0909,20.24,9.7,196.41
Bali,Email,2024-04,14,2,392.91,0.1429,41.45,9.48,196.46
Bali,Email,2024-05,12,1,200.41,0.0833,14.32,14.0,200.41
Bali,Email,2024-06,14,2,394.49,0.1429,31.47,12.54,197.25
Bali,Email,2024-07,15,2,401.25,0.1333,27.67,14.5,200.62
Bali,Email,2024-08,13,1,190.59,0.0769,11.12,17.14,190.59
Bali,Email,2024-09,15,2,380.89,0.1333,24.81,15.35,190.44
Bali,Email,2024-10,15,2,412.02,0.1333,35.73,11.53,206.01
Bali,Email,2024-11,15,2,381.24,0.1333,25.13,15.17,190.62
Bali,Email,2024-12,18,2,394.62,0.1111,27.31,14.45,197.31
Bali,Direct,2024-01,10,1,221.33,0.1,24.52,9.03,221.33
Bali,Direct,2024-02,9,1,231.62,0.1111,19.19,12.07,231.62
Bali,Direct,2024-03,10,1,219.61,0.1,25.45,8.63,219.61
Bali,Direct,2024-04,11,1,227.64,0.0909,12.56,18.12,227.64
Bali,Direct,2024-05,11,1,221.85,0.0909,19.83,11.19,221.85
Bali,Direct,2024-06,11,1,221.15,0.0909,22.89,9.66,221.15
Bali,Direct,2024-07,12,1,223.61,0.0833,19.36,11.55,223.61
Bali,Direct,2024-08,11,1,238.2,0.0909,28.42,8.38,238.2
Bali,Direct,2024-09,11,1,232.44,0.0909,23.66,9.82,232.44
Bali,Direct,2024-10,14,2,446.55,0.1429,42.97,10.39,223.28
Bali,Direct,2024-11,12,1,220.15,0.0833,11.05,19.92,220.15
Bali,Direct,2024-12,16,2,450.24,0.125,29.81,15.1,225.12
Bali,Referral,2024-01,8,1,222.79,0.125,25.55,8.72,222.79
Bali,Referral,2024-02,8,1,222.22,0.125,25.63,8.67,222.22
Bali,Referral,2024-03,8,1,221.92,0.125,25.21,8.8,221.92
Bali,Referral,2024-04,9,1,211.39,0.1111,15.12,13.98,211.39
Bali,Referral,2024-05,9,1,214.07,0.1111,12.57,17.03,214.07
Bali,Referral,2024-06,9,1,228.37,0.1111,19.42,11.76,228.37
Bali,Referral,2024-07,9,1,208.63,0.1111,16.74,12.46,208.63
Bali,Referral,2024-08,8,1,209.75,0.125,24.61,8.52,209.75
Bali,Referral,2024-09,10,2,457.1,0.2,54.84,8.34,228.55
Bali,Referral,2024-10,10,1,208.64,0.1,21.48,9.71,208.64
Bali,Referral,2024-11,10,2,455.58,0.2,28.57,15.95,227.79
Bali,Referral,2024-12,12,2,437.02,0.1667,24.64,17.74,218.51
Bandung,Organic,2024-01,20,2,391.67,0.1,28.63,13.68,195.84
Bandung,Organic,2024-02,21,2,394.98,0.0952,42.24,9.35,197.49
Bandung,Organic,2024-03,23,2,371.13,0.087,26.95,13.77,185.56
Bandung,Organic,2024-04,25,2,378.69,0.08,45.13,8.39,189.34
Bandung,Organic,2024-05,24,2,374.86,0.0833,23.67,15.84,187.43
Bandung,Organic,2024-06,23,2,382.88,0.087,39.51,9.69,191.44
Bandung,Organic,2024-07,23,2,394.31,0.087,31.81,12.4,197.16
Bandung,Organic,2024-08,26,2,396.03,0.0769,36.68,10.8,198.01
Bandung,Organic,2024-09,24,2,380.06,0.0833,33.7,11.28,190.03
Bandung,Organic,2024-10,24,2,393.76,0.0833,32.41,12.15,196.88
Bandung,Organic,2024-11,25,3,567.12,0.12,56.8,9.98,189.04
Bandung,Organic,2024-12,34,3,586.2,0.0882,69.53,8.43,195.4
Bandung,Paid Search,2024-01,19,2,385.62,0.1053,100.52,3.84,192.81
Bandung,Paid Search,2024-02,20,2,361.73,0.1,102.44,3.53,180.87
Bandung,Paid Search,2024-03,20,3,555.45,0.15,158.66,3.5,185.15
Bandung,Paid Search,2024-04,20,2,373.23,0.1,111.94,3.33,186.62
Bandung,Paid Search,2024-05,21,2,371.44,0.0952,91.97,4.04,185.72
Bandung,Paid Search,2024-06,22,3,552.54,0.1364,135.78,4.07,184.18
Bandung,Paid Search,2024-07,21,3,559.0,0.1429,133.42,4.19,186.33
Bandung,Paid Search,2024-08,24,3,568.6,0.125,157.17,3.62,189.53
Bandung,Paid Search,2024-09,25,3,564.1,0.12,161.14,3.5,188.03
Bandung,Paid Search,2024-10,27,3,529.32,0.1111,137.72,3.84,176.44
Bandung,Paid Search,2024-11,26,3,575.78,0.1154,146.95,3.92,191.93
Bandung,Paid Search,2024-12,31,4,756.48,0.129,191.24,3.96,189.12
Bandung,Social Media,2024-01,17,2,420.94,0.1176,104.01,4.05,210.47
Bandung,Social Media,2024-02,18,2,416.22,0.1111,119.95,3.47,208.11
Bandung,Social Media,2024-03,21,3,592.05,0.1429,164.29,3.6,197.35
Bandung,Social Media,2024-04,21,3,575.12,0.1429,129.67,4.44,191.71
Bandung,Social Media,2024-05,21,3,633.11,0.1429,177.11,3.57,211.04
Bandung,Social Media,2024-06,21,3,611.18,0.1429,177.12,3.45,203.73
Bandung,Social Media,2024-07,21,3,627.44,0.1429,140.35,4.47,209.15
Bandung,Social Media,2024-08,23,3,595.56,0.1304,137.96,4.32,198.52
Bandung,Social Media,2024-09,22,3,620.75,0.1364,145.01,4.28,206.92
Bandung,Social Media,2024-10,21,3,610.33,0.1429,146.03,4.18,203.44
Bandung,Social Media,2024-11,27,3,600.77,0.1111,144.38,4.16,200.26
Bandung,Social Media,2024-12,28,3,621.48,0.1071,181.53,3.42,207.16
Bandung,Email,2024-01,14,2,397.62,0.1429,36.24,10.97,198.81
Bandung,Email,2024-02,15,2,393.76,0.1333,42.99,9.16,196.88
Bandung,Email,2024-03,15,2,403.18,0.1333,26.85,15.02,201.59
Bandung,Email,2024-04,17,2,423.75,0.1176,29.94,14.15,211.88
Bandung,Email,2024-05,19,2,394.75,0.1053,35.38,11.16,197.38
Bandung,Email,2024-06,18,2,385.64,0.1111,35.65,10.82,192.82
Bandung,Email,2024-07,18,2,395.22,0.1111,41.86,9.44,197.61
Bandung,Email,2024-08,19,2,409.37,0.1053,38.26,10.7,204.69
Bandung,Email,2024-09,19,2,410.28,0.1053,44.59,9.2,205.14
Bandung,Email,2024-10,20,2,409.76,0.1,29.35,13.96,204.88
Bandung,Email,2024-11,20,2,413.24,0.1,23.27,17.76,206.62
Bandung,Email,2024-12,24,3,586.13,0.125,34.73,16.88,195.38
Bandung,Direct,2024-01,14,1,204.66,0.0714,22.13,9.25,204.66
Bandung,Direct,2024-02,11,1,196.18,0.0909,20.88,9.4,196.18
Bandung,Direct,2024-03,14,1,188.97,0.0714,22.19,8.52,188.97
Bandung,Direct,2024-04,12,1,203.61,0.0833,20.5,9.93,203.61
Bandung,Direct,2024-05,15,1,202.52,0.0667,15.31,13.23,202.52
Bandung,Direct,2024-06,15,1,197.26,0.0667,16.14,12.22,197.26
Bandung,Direct,2024-07,15,1,198.2,0.0667,21.32,9.3,198.2
Bandung,Direct,2024-08,16,1,191.31,0.0625,9.9,19.32,191.31
Bandung,Direct,2024-09,16,1,204.7,0.0625,13.41,15.26,204.7
Bandung,Direct,2024-10,14,1,204.58,0.0714,14.56,14.05,204.58
Bandung,Direct,2024-11,16,1,205.31,0.0625,14.64,14.02,205.31
Bandung,Direct,2024-12,20,2,408.3,0.1,24.29,16.81,204.15
Bandung,Referral,2024-01,10,1,201.81,0.1,16.01,12.61,201.81
Bandung,Referral,2024-02,10,1,191.55,0.1,10.91,17.56,191.55
Bandung,Referral,2024-03,10,1,201.92,0.1,10.56,19.12,201.92
Bandung,Referral,2024-04,10,1,201.9,0.1,22.19,9.1,201.9
Bandung,Referral,2024-05,10,1,194.05,0.1,22.99,8.44,194.05
Bandung,Referral,2024-06,11,1,187.2,0.0909,10.96,17.08,187.2
Bandung,Referral,2024-07,12,1,196.34,0.0833,18.64,10.53,196.34
Bandung,Referral,2024-08,12,1,198.73,0.0833,13.32,14.92,198.73
Bandung,Referral,2024-09,11,1,184.86,0.0909,19.14,9.66,184.86
Bandung,Referral,2024-10,11,1,200.33,0.0909,14.62,13.7,200.33
Bandung,Referral,2024-11,12,1,183.59,0.0833,20.21,9.08,183.59
Bandung,Referral,2024-12,14,1,188.37,0.0714,11.72,16.07,188.37
Surabaya,Organic,2024-01,20,2,488.59,0.1,32.57,15.0,244.29
Surabaya,Organic,2024-02,20,2,453.56,0.1,46.23,9.81,226.78
Surabaya,Organic,2024-03,24,3,710.53,0.125,74.22,9.57,236.84
Surabaya,Organic,2024-04,24,2,475.0,0.0833,55.19,8.61,237.5
Surabaya,Organic,2024-05,22,2,492.24,0.0909,42.58,11.56,246.12
Surabaya,Organic,2024-06,25,3,680.95,0.12,56.88,11.97,226.98
Surabaya,Organic,2024-07,26,3,711.53,0.1154,80.89,8.8,237.18
Surabaya,Organic,2024-08,24,2,479.96,0.0833,26.2,18.32,239.98
Surabaya,Organic,2024-09,25,3,715.67,0.12,52.07,13.74,238.56
Surabaya,Organic,2024-10,32,3,708.93,0.0938,65.49,10.83,236.31
Surabaya,Organic,2024-11,27,3,737.35,0.1111,70.46,10.46,245.78
Surabaya,Organic,2024-12,39,4,922.57,0.1026,75.29,12.25,230.64
Surabaya,Paid Search,2024-01,19,2,431.37,0.1053,98.18,4.39,215.69
Surabaya,Paid Search,2024-02,19,2,429.55,0.1053,99.75,4.31,214.78
Surabaya,Paid Search,2024-03,24,3,674.18,0.125,153.35,4.4,224.73
Surabaya,Paid Search,2024-04,20,3,672.88,0.15,177.98,3.78,224.29
Surabaya,Paid Search,2024-05,23,3,641.42,0.1304,147.38,4.35,213.81
Surabaya,Paid Search,2024-06,22,3,668.86,0.1364,193.6,3.45,222.95
Surabaya,Paid Search,2024-07,25,3,659.08,0.12,163.54,4.03,219.69
Surabaya,Paid Search,2024-08,24,3,662.76,0.125,157.7,4.2,220.92
Surabaya,Paid Search,2024-09,22,3,643.89,0.1364,180.94,3.56,214.63
Surabaya,Paid Search,2024-10,26,3,675.05,0.1154,201.14,3.36,225.02
Surabaya,Paid Search,2024-11,29,4,882.46,0.1379,195.99,4.5,220.62
Surabaya,Paid Search,2024-12,36,5,1062.26,0.1389,249.03,4.27,212.45
Surabaya,Social Media,2024-01,18,2,455.01,0.1111,131.77,3.45,227.5
Surabaya,Social Media,2024-02,18,2,461.51,0.1111,124.91,3.69,230.75
Surabaya,Social Media,2024-03,18,2,465.01,0.1111,117.92,3.94,232.5
Surabaya,Social Media,2024-04,20,2,489.25,0.1,138.04,3.54,244.62
Surabaya,Social Media,2024-05,22,2,457.23,0.0909,106.35,4.3,228.62
Surabaya,Social Media,2024-06,23,3,701.61,0.1304,191.51,3.66,233.87
Surabaya,Social Media,2024-07,22,2,467.79,0.0909,131.17,3.57,233.9
Surabaya,Social Media,2024-08,21,2,468.27,0.0952,128.44,3.65,234.13
Surabaya,Social Media,2024-09,23,3,685.33,0.1304,172.44,3.97,228.44
Surabaya,Social Media,2024-10,25,3,703.71,0.12,166.71,4.22,234.57
Surabaya,Social Media,2024-11,23,2,470.42,0.087,103.78,4.53,235.21
Surabaya,Social Media,2024-12,33,3,709.37,0.0909,195.99,3.62,236.46
Surabaya,Email,2024-01,17,3,660.51,0.1765,72.87,9.06,220.17
Surabaya,Email,2024-02,14,2,479.4,0.1429,52.9,9.06,239.7
Surabaya,Email,2024-03,18,3,704.49,0.1667,55.82,12.62,234.83
Surabaya,Email,2024-04,16,2,451.96,0.125,47.95,9.43,225.98
Surabaya,Email,2024-05,19,3,719.0,0.1579,40.39,17.8,239.67
Surabaya,Email,2024-06,20,3,696.17,0.15,60.34,11.54,232.06
Surabaya,Email,2024-07,19,3,678.96,0.1579,49.78,13.64,226.32
Surabaya,Email,2024-08,18,3,663.4,0.1667,56.85,11.67,221.13
Surabaya,Email,2024-09,22,3,705.73,0.1364,75.74,9.32,235.24
Surabaya,Email,2024-10,22,3,665.64,0.1364,42.47,15.67,221.88
Surabaya,Email,2024-11,22,4,934.36,0.1818,58.3,16.03,233.59
Surabaya,Email,2024-12,28,5,1179.32,0.1786,121.7,9.69,235.86
Surabaya,Direct,2024-01,14,1,230.73,0.0714,21.62,10.67,230.73
Surabaya,Direct,2024-02,14,1,219.7,0.0714,12.04,18.25,219.7
Surabaya,Direct,2024-03,14,1,222.52,0.0714,12.0,18.54,222.52
Surabaya,Direct,2024-04,14,1,226.55,0.0714,12.23,18.52,226.55
Surabaya,Direct,2024-05,16,1,235.94,0.0625,25.92,9.1,235.94
Surabaya,Direct,2024-06,16,1,226.8,0.0625,20.14,11.26,226.8
Surabaya,Direct,2024-07,17,2,453.01,0.1176,48.33,9.37,226.5
Surabaya,Direct,2024-08,16,1,227.09,0.0625,13.75,16.52,227.09
Surabaya,Direct,2024-09,14,1,236.74,0.0714,17.53,13.5,236.74
Surabaya,Direct,2024-10,18,2,440.39,0.1111,29.66,14.85,220.19
Surabaya,Direct,2024-11,17,1,228.17,0.0588,13.94,16.37,228.17
Surabaya,Direct,2024-12,21,2,451.15,0.0952,33.24,13.57,225.57
Surabaya,Referral,2024-01,11,1,224.32,0.0909,12.7,17.66,224.32
Surabaya,Referral,2024-02,10,1,239.75,0.1,23.01,10.42,239.75
Surabaya,Referral,2024-03,12,1,230.6,0.0833,20.94,11.01,230.6
Surabaya,Referral,2024-04,10,1,245.47,0.1,24.28,10.11,245.47
Surabaya,Referral,2024-05,11,1,244.77,0.0909,17.54,13.95,244.77
Surabaya,Referral,2024-06,11,1,241.85,0.0909,23.44,10.32,241.85
Surabaya,Referral,2024-07,13,2,477.7,0.1538,41.49,11.51,238.85
Surabaya,Referral,2024-08,12,1,231.26,0.0833,17.43,13.27,231.26
Surabaya,Referral,2024-09,11,1,245.0,0.0909,20.59,11.9,245.0
Surabaya,Referral,2024-10,12,1,224.59,0.0833,24.51,9.16,224.59
Surabaya,Referral,2024-11,12,1,242.36,0.0833,27.11,8.94,242.36
Surabaya,Referral,2024-12,15,2,481.5,0.1333,28.49,16.9,240.75
Medan,Organic,2024-01,17,2,376.67,0.1176,40.17,9.38,188.34
Medan,Organic,2024-02,16,2,363.46,0.125,35.38,10.27,181.73
Medan,Organic,2024-03,19,2,358.84,0.1053,36.74,9.77,179.42
Medan,Organic,2024-04,20,2,359.74,0.1,38.35,9.38,179.87
Medan,Organic,2024-05,21,3,542.82,0.1429,63.13,8.6,180.94
Medan,Organic,2024-06,24,3,538.09,0.125,41.29,13.03,179.36
Medan,Organic,2024-07,22,3,567.53,0.1364,60.21,9.43,189.18
Medan,Organic,2024-08,20,2,371.91,0.1,41.35,8.99,185.96
Medan,Organic,2024-09,23,3,569.12,0.1304,62.37,9.12,189.71
Medan,Organic,2024-10,22,3,537.6,0.1364,60.95,8.82,179.2
Medan,Organic,2024-11,23,3,574.65,0.1304,37.66,15.26,191.55
Medan,Organic,2024-12,30,4,698.74,0.1333,37.54,18.61,174.69
Medan,Paid Search,2024-01,16,2,371.45,0.125,82.56,4.5,185.72
Medan,Paid Search,2024-02,18,2,381.79,0.1111,108.17,3.53,190.9
Medan,Paid Search,2024-03,16,2,388.55,0.125,107.12,3.63,194.28
Medan,Paid Search,2024-04,17,2,374.22,0.1176,82.49,4.54,187.11
Medan,Paid Search,2024-05,17,2,388.75,0.1176,102.59,3.79,194.38
Medan,Paid Search,2024-06,20,2,361.53,0.1,87.87,4.11,180.76
Medan,Paid Search,2024-07,19,2,373.14,0.1053,105.79,3.53,186.57
Medan,Paid Search,2024-08,20,2,391.39,0.1,104.79,3.73,195.69
Medan,Paid Search,2024-09,18,2,366.44,0.1111,84.83,4.32,183.22
Medan,Paid Search,2024-10,21,2,366.39,0.0952,92.82,3.95,183.19
Medan,Paid Search,2024-11,23,2,394.01,0.087,88.82,4.44,197.0
Medan,Paid Search,2024-12,28,3,591.78,0.1071,156.43,3.78,197.26
Medan,Social Media,2024-01,16,2,385.45,0.125,92.62,4.16,192.72
Medan,Social Media,2024-02,13,1,181.03,0.0769,50.44,3.59,181.03
Medan,Social Media,2024-03,18,2,376.41,0.1111,92.82,4.06,188.21
Medan,Social Media,2024-04,16,2,379.29,0.125,88.76,4.27,189.65
Medan,Social Media,2024-05,19,2,374.95,0.1053,101.44,3.7,187.47
Medan,Social Media,2024-06,20,2,377.92,0.1,96.98,3.9,188.96
Medan,Social Media,2024-07,18,2,356.71,0.1111,79.67,4.48,178.35
Medan,Social Media,2024-08,21,2,385.75,0.0952,101.62,3.8,192.88
Medan,Social Media,2024-09,18,2,356.4,0.1111,88.59,4.02,178.2
Medan,Social Media,2024-10,22,2,361.58,0.0909,83.15,4.35,180.79
Medan,Social Media,2024-11,21,2,376.71,0.0952,109.84,3.43,188.35
Medan,Social Media,2024-12,25,3,551.43,0.12,143.26,3.85,183.81
Medan,Email,2024-01,13,2,417.17,0.1538,23.16,18.01,208.59
Medan,Email,2024-02,13,2,409.76,0.1538,29.7,13.8,204.88
Medan,Email,2024-03,13,2,400.01,0.1538,36.87,10.85,200.0
Medan,Email,2024-04,14,2,401.85,0.1429,21.28,18.88,200.93
Medan,Email,2024-05,16,2,428.23,0.125,29.64,14.45,214.12
Medan,Email,2024-06,17,2,390.57,0.1176,36.96,10.57,195.28
Medan,Email,2024-07,15,2,415.23,0.1333,48.46,8.57,207.62
Medan,Email,2024-08,15,2,419.38,0.1333,21.99,19.07,209.69
Medan,Email,2024-09,15,2,402.46,0.1333,30.91,13.02,201.23
Medan,Email,2024-10,17,2,415.21,0.1176,48.34,8.59,207.6
Medan,Email,2024-11,17,2,410.92,0.1176,35.78,11.48,205.46
Medan,Email,2024-12,22,3,596.54,0.1364,34.56,17.26,198.85
Medan,Direct,2024-01,11,1,198.08,0.0909,13.53,14.64,198.08
Medan,Direct,2024-02,10,1,206.63,0.1,14.46,14.29,206.63
Medan,Direct,2024-03,13,1,189.43,0.0769,20.78,9.12,189.43
Medan,Direct,2024-04,12,1,195.78,0.0833,10.99,17.81,195.78
Medan,Direct,2024-05,13,1,193.31,0.0769,14.37,13.45,193.31
Medan,Direct,2024-06,11,1,204.57,0.0909,22.42,9.12,204.57
Medan,Direct,2024-07,14,2,399.14,0.1429,42.13,9.47,199.57
Medan,Direct,2024-08,13,1,190.97,0.0769,11.4,16.75,190.97
Medan,Direct,2024-09,14,1,197.92,0.0714,15.01,13.19,197.92
Medan,Direct,2024-10,15,2,398.13,0.1333,22.31,17.85,199.06
Medan,Direct,2024-11,14,2,402.34,0.1429,34.92,11.52,201.17
Medan,Direct,2024-12,19,2,376.94,0.1053,44.5,8.47,188.47
Medan,Referral,2024-01,8,1,190.35,0.125,21.22,8.97,190.35
Medan,Referral,2024-02,8,1,187.2,0.125,22.02,8.5,187.2
Medan,Referral,2024-03,9,1,184.76,0.1111,10.84,17.04,184.76
Medan,Referral,2024-04,8,1,189.92,0.125,18.93,10.03,189.92
Medan,Referral,2024-05,9,1,200.99,0.1111,21.95,9.16,200.99
Medan,Referral,2024-06,9,1,194.33,0.1111,11.42,17.02,194.33
