item_id,order_id,customer_id,product_name,category,quantity,unit_price,subtotal,order_date
ITEM0000028,ORD000010,CUST00003,Lip Balm,Beauty,3,21.94,65.82,2024-01-04
ITEM0000029,ORD000011,CUST00003,Yoga Mat,Sports,3,115.73,347.19,2024-02-24
ITEM0000030,ORD000012,CUST00003,Lip Balm,Beauty,2,100.57,201.14,2024-01-31
ITEM0000031,ORD000013,CUST00004,Eye Cream,Beauty,1,37.61,37.61,2024-07-25
ITEM0000032,ORD000013,CUST00004,Sheet Mask,Beauty,2,30.1,60.2,2024-07-25
ITEM0000033,ORD000013,CUST00004,Eye Cream,Beauty,3,34.08,102.24,2024-07-25
ITEM0000034,ORD000013,CUST00004,Sunscreen SPF50,Beauty,1,30.85,30.85,2024-07-25
ITEM0000035,ORD000014,CUST00004,Casual Tee,Apparel,3,28.2,84.6,2024-09-18
ITEM0000036,ORD000014,CUST00004,Jeans,Apparel,2,22.67,45.34,2024-09-18
ITEM0000037,ORD000014,CUST00004,Casual Tee,Apparel,3,26.94,80.82,2024-09-18
ITEM0000038,ORD000014,CUST00004,Casual Tee,Apparel,3,27.26,81.78,2024-09-18
ITEM0000039,ORD000015,CUST00005,Running Shoes,Sports,1,129.61,129.61,2024-12-01
ITEM0000040,ORD000016,CUST00005,Water Bottle,Sports,2,25.87,51.74,2024-02-21
ITEM0000041,ORD000016,CUST00005,Gym Bag,Sports,1,33.51,33.51,2024-02-21
ITEM0000042,ORD000016,CUST00005,Running Shoes,Sports,3,27.34,82.02,2024-02-21
ITEM0000043,ORD000016,CUST00005,Running Shoes,Sports,3,33.03,99.09,2024-02-21
ITEM0000044,ORD000016,CUST00005,Jump Rope,Sports,2,29.57,59.14,2024-02-21
ITEM0000045,ORD000017,CUST00006,Toner,Beauty,1,43.13,43.13,2024-09-09
ITEM0000046,ORD000017,CUST00006,Eye Cream,Beauty,2,43.24,86.48,2024-09-09
ITEM0000047,ORD000017,CUST00006,Face Serum,Beauty,3,45.56,136.68,2024-09-09
ITEM0000048,ORD000018,CUST00006,Smart Watch,Electronics,1,36.21,36.21,2024-10-25
ITEM0000049,ORD000018,CUST00006,Mouse Pad,Electronics,3,51.11,153.33,2024-10-25
ITEM0000050,ORD000019,CUST00007,Resistance Band,Sports,1,48.79,48.79,2024-03-11
ITEM0000051,ORD000019,CUST00007,Protein Shaker,Sports,1,67.2,67.2,2024-03-11
ITEM0000052,ORD000019,CUST00007,Yoga Mat,Sports,3,67.14,201.42,2024-03-11
ITEM0000053,ORD000019,CUST00007,Yoga Mat,Sports,3,52.65,157.95,2024-03-11
ITEM0000054,ORD000019,CUST00007,Knee Pad,Sports,1,54.5,54.5,2024-03-11
ITEM0000055,ORD000020,CUST00007,Sheet Mask,Beauty,3,59.02,177.06,2024-08-26
ITEM0000056,ORD000020,CUST00007,Lip Balm,Beauty,3,67.13,201.39,2024-08-26
ITEM0000057,ORD000020,CUST00007,Body Lotion,Beauty,1,70.42,70.42,2024-08-26
ITEM0000058,ORD000020,CUST00007,Sunscreen SPF50,Beauty,1,74.72,74.72,2024-08-26
ITEM0000059,ORD000020,CUST00007,Toner,Beauty,1,53.86,53.86,2024-08-26
ITEM0000060,ORD000021,CUST00007,Jeans,Apparel,2,30.54,61.08,2024-02-11
ITEM0000061,ORD000021,CUST00007,Casual Tee,Apparel,1,42.44,42.44,2024-02-11
ITEM0000062,ORD000021,CUST00007,Jeans,Apparel,1,41.07,41.07,2024-02-11
ITEM0000063,ORD000021,CUST00007,Cap,Apparel,3,43.47,130.41,2024-02-11
ITEM0000064,ORD000021,CUST00007,Sandals,Apparel,3,29.91,89.73,2024-02-11
ITEM0000065,ORD000022,CUST00007,Mouse Pad,Electronics,3,74.81,224.43,2024-09-18
ITEM0000066,ORD000022,CUST00007,Mouse Pad,Electronics,1,68.45,68.45,2024-09-18
ITEM0000067,ORD000023,CUST00007,Mouse Pad,Electronics,1,144.54,144.54,2024-03-15
ITEM0000068,ORD000023,CUST00007,Power Bank,Electronics,2,168.32,336.64,2024-03-15
ITEM0000069,ORD000024,CUST00007,Wireless Earbuds,Electronics,1,49.74,49.74,2024-12-10
ITEM0000070,ORD000024,CUST00007,Webcam,Electronics,2,52.03,104.06,2024-12-10
ITEM0000071,ORD000024,CUST00007,Mouse Pad,Electronics,3,66.8,200.4,2024-12-10
ITEM0000072,ORD000024,CUST00007,Smart Watch,Electronics,1,53.54,53.54,2024-12-10
ITEM0000073,ORD000025,CUST00008,Sandals,Apparel,1,64.42,64.42,2024-12-04
ITEM0000074,ORD000025,CUST00008,Sandals,Apparel,1,62.95,62.95,2024-12-04
ITEM0000075,ORD000025,CUST00008,Hoodie,Apparel,1,83.61,83.61,2024-12-04
ITEM0000076,ORD000026,CUST00008,Body Lotion,Beauty,1,40.84,40.84,2024-06-21
ITEM0000077,ORD000026,CUST00008,Moisturizer,Beauty,1,31.73,31.73,2024-06-21
ITEM0000078,ORD000026,CUST00008,Sheet Mask,Beauty,3,44.78,134.34,2024-06-21
ITEM0000079,ORD000027,CUST00008,Gym Bag,Sports,1,333.16,333.16,2024-02-03
ITEM0000080,ORD000028,CUST00008,Smart Watch,Electronics,1,114.6,114.6,2024-09-11
ITEM0000081,ORD000028,CUST00008,Webcam,Electronics,2,157.05,314.1,2024-09-11
ITEM0000082,ORD000029,CUST00008,Eye Cream,Beauty,1,149.57,149.57,2024-03-07
ITEM0000083,ORD000030,CUST00009,Smartphone Case,Electronics,3,7.54,22.62,2024-09-10
ITEM0000084,ORD000030,CUST00009,Wireless Earbuds,Electronics,2,6.72,13.44,2024-09-10
ITEM0000085,ORD000030,CUST00009,Power Bank,Electronics,2,6.17,12.34,2024-09-10
ITEM0000086,ORD000030,CUST00009,Smartphone Case,Electronics,2,7.01,14.02,2024-09-10
ITEM0000087,ORD000030,CUST00009,Power Bank,Electronics,2,6.42,12.84,2024-09-10
ITEM0000088,ORD000031,CUST00009,Finance Guide,Books,1,20.73,20.73,2024-11-24
ITEM0000089,ORD000031,CUST00009,Travel Guide,Books,2,28.85,57.7,2024-11-24
ITEM0000090,ORD000031,CUST00009,Art Book,Books,2,23.64,47.28,2024-11-24
ITEM0000091,ORD000032,CUST00010,Art Book,Books,1,74.35,74.35,2024-05-25
ITEM0000092,ORD000032,CUST00010,Novel,Books,2,84.7,169.4,2024-05-25
ITEM0000093,ORD000033,CUST00010,Smart Watch,Electronics,3,107.28,321.84,2024-03-01
ITEM0000094,ORD000034,CUST00010,Webcam,Electronics,3,157.42,472.26,2024-02-16
ITEM0000095,ORD000035,CUST00010,Aromatherapy Diffuser,Home & Garden,2,33.35,66.7,2024-01-16
ITEM0000096,ORD000035,CUST00010,Desk Lamp,Home & Garden,2,39.25,78.5,2024-01-16
ITEM0000097,ORD000035,CUST00010,Desk Lamp,Home & Garden,1,39.39,39.39,2024-01-16
ITEM0000098,ORD000036,CUST00010,Jeans,Apparel,1,127.57,127.57,2024-05-27
ITEM0000099,ORD000036,CUST00010,Batik Shirt,Apparel,1,123.15,123.15,2024-05-27
ITEM0000100,ORD000036,CUST00010,Jeans,Apparel,1,116.82,116.82,2024-05-27
ITEM0000101,ORD000037,CUST00011,Running Shoes,Sports,3,73.65,220.95,2024-09-11
ITEM0000102,ORD000038,CUST00012,Trail Mix,Food & Drink,1,11.26,11.26,2024-03-17
ITEM0000103,ORD000038,CUST00012,Chili Sauce,Food & Drink,1,8.47,8.47,2024-03-17
ITEM0000104,ORD000038,CUST00012,Green Tea,Food & Drink,2,10.07,20.14,2024-03-17
ITEM0000105,ORD000038,CUST00012,Instant Coffee,Food & Drink,2,12.37,24.74,2024-03-17
ITEM0000106,ORD000038,CUST00012,Instant Coffee,Food & Drink,1,11.66,11.66,2024-03-17
ITEM0000107,ORD000039,CUST00013,USB Hub,Electronics,3,25.97,77.91,2024-01-11
ITEM0000108,ORD000039,CUST00013,Smart Watch,Electronics,3,25.16,75.48,2024-01-11
ITEM0000109,ORD000040,CUST00013,Jump Rope,Sports,1,27.4,27.4,2024-06-11
ITEM0000110,ORD000040,CUST00013,Knee Pad,Sports,3,27.62,82.86,2024-06-11
ITEM0000111,ORD000040,CUST00013,Knee Pad,Sports,2,27.17,54.34,2024-06-11
ITEM0000112,ORD000040,CUST00013,Resistance Band,Sports,3,21.7,65.1,2024-06-11
ITEM0000113,ORD000040,CUST00013,Knee Pad,Sports,1,24.04,24.04,2024-06-11
ITEM0000114,ORD000041,CUST00013,Water Bottle,Sports,2,160.52,321.04,2024-07-14
ITEM0000115,ORD000042,CUST00014,Storage Box,Home & Garden,3,10.12,30.36,2024-04-29
ITEM0000116,ORD000042,CUST00014,Plant Pot,Home & Garden,3,9.66,28.98,2024-04-29
ITEM0000117,ORD000042,CUST00014,Aromatherapy Diffuser,Home & Garden,3,9.2,27.6,2024-04-29
ITEM0000118,ORD000042,CUST00014,Storage Box,Home & Garden,1,10.2,10.2,2024-04-29
ITEM0000119,ORD000043,CUST00015,Aromatherapy Diffuser,Home & Garden,1,101.64,101.64,2024-10-03
ITEM0000120,ORD000043,CUST00015,Storage Box,Home & Garden,3,107.09,321.27,2024-10-03
ITEM0000121,ORD000043,CUST00015,Plant Pot,Home & Garden,1,108.86,108.86,2024-10-03
ITEM0000122,ORD000043,CUST00015,Rug,Home & Garden,1,90.51,90.51,2024-10-03
ITEM0000123,ORD000044,CUST00015,Instant Coffee,Food & Drink,3,131.35,394.05,2024-02-12
ITEM0000124,ORD000044,CUST00015,Protein Powder,Food & Drink,1,131.62,131.62,2024-02-12
ITEM0000125,ORD000044,CUST00015,Granola Bar,Food & Drink,2,102.09,204.18,2024-02-12
ITEM0000126,ORD000044,CUST00015,Trail Mix,Food & Drink,1,122.19,122.19,2024-02-12
ITEM0000127,ORD000044,CUST00015,Coconut Oil,Food & Drink,2,111.74,223.48,2024-02-12
ITEM0000128,ORD000045,CUST00015,Sunscreen SPF50,Beauty,1,62.93,62.93,2024-09-16
ITEM0000129,ORD000045,CUST00015,Eye Cream,Beauty,2,68.92,137.84,2024-09-16
ITEM0000130,ORD000045,CUST00015,Lip Balm,Beauty,3,58.32,174.96,2024-09-16
ITEM0000131,ORD000045,CUST00015,Face Serum,Beauty,1,66.3,66.3,2024-09-16
ITEM0000132,ORD000045,CUST00015,Face Serum,Beauty,2,72.3,144.6,2024-09-16
ITEM0000133,ORD000046,CUST00015,Protein Shaker,Sports,1,93.72,93.72,2024-03-21
ITEM0000134,ORD000046,CUST00015,Water Bottle,Sports,3,104.67,314.01,2024-03-21
ITEM0000135,ORD000046,CUST00015,Protein Shaker,Sports,2,98.27,196.54,2024-03-21
ITEM0000136,ORD000046,CUST00015,Knee Pad,Sports,3,106.1,318.3,2024-03-21
ITEM0000137,ORD000046,CUST00015,Jump Rope,Sports,3,95.0,285.0,2024-03-21
ITEM0000138,ORD000047,CUST00015,Keyboard,Electronics,2,261.6,523.2,2024-12-31
ITEM0000139,ORD000048,CUST00015,Webcam,Electronics,2,120.85,241.7,2024-11-24
ITEM0000140,ORD000048,CUST00015,Mouse Pad,Electronics,1,123.35,123.35,2024-11-24
ITEM0000141,ORD000048,CUST00015,Keyboard,Electronics,3,124.18,372.54,2024-11-24
ITEM0000142,ORD000048,CUST00015,Wireless Earbuds,Electronics,1,101.77,101.77,2024-11-24
ITEM0000143,ORD000048,CUST00015,USB Hub,Electronics,3,129.88,389.64,2024-11-24
ITEM0000144,ORD000049,CUST00015,Art Book,Books,2,62.67,125.34,2024-10-06
ITEM0000145,ORD000049,CUST00015,Self Help Book,Books,1,52.75,52.75,2024-10-06
ITEM0000146,ORD000049,CUST00015,Novel,Books,1,65.42,65.42,2024-10-06
ITEM0000147,ORD000049,CUST00015,Finance Guide,Books,2,54.73,109.46,2024-10-06
ITEM0000148,ORD000049,CUST00015,Tech Manual,Books,3,70.51,211.53,2024-10-06
ITEM0000149,ORD000050,CUST00015,Sneakers,Apparel,2,200.6,401.2,2024-01-01
ITEM0000150,ORD000050,CUST00015,Hoodie,Apparel,3,161.66,484.98,2024-01-01
ITEM0000151,ORD000051,CUST00016,Green Tea,Food & Drink,1,236.73,236.73,2024-08-15
ITEM0000152,ORD000052,CUST00016,Jeans,Apparel,3,160.53,481.59,2024-10-27
ITEM0000153,ORD000052,CUST00016,Casual Tee,Apparel,1,165.07,165.07,2024-10-27
ITEM0000154,ORD000053,CUST00016,Casual Tee,Apparel,2,96.69,193.38,2024-07-27
ITEM0000155,ORD000053,CUST00016,Batik Shirt,Apparel,2,97.16,194.32,2024-07-27
ITEM0000156,ORD000054,CUST00016,Instant Coffee,Food & Drink,1,57.42,57.42,2024-05-22
ITEM0000157,ORD000054,CUST00016,Chili Sauce,Food & Drink,1,63.75,63.75,2024-05-22
ITEM0000158,ORD000054,CUST00016,Protein Powder,Food & Drink,1,65.9,65.9,2024-05-22
ITEM0000159,ORD000055,CUST00016,Aromatherapy Diffuser,Home & Garden,1,104.83,104.83,2024-09-04
ITEM0000160,ORD000056,CUST00017,Finance Guide,Books,1,26.6,26.6,2024-05-19
ITEM0000161,ORD000056,CUST00017,Tech Manual,Books,3,20.85,62.55,2024-05-19
ITEM0000162,ORD000056,CUST00017,Art Book,Books,3,22.68,68.04,2024-05-19
ITEM0000163,ORD000056,CUST00017,Cook Book,Books,3,23.11,69.33,2024-05-19
ITEM0000164,ORD000056,CUST00017,Tech Manual,Books,3,28.39,85.17,2024-05-19
ITEM0000165,ORD000057,CUST00017,Jump Rope,Sports,1,70.87,70.87,2024-06-08
ITEM0000166,ORD000057,CUST00017,Yoga Mat,Sports,2,85.37,170.74,2024-06-08
ITEM0000167,ORD000057,CUST00017,Water Bottle,Sports,1,64.68,64.68,2024-06-08
ITEM0000168,ORD000058,CUST00017,Yoga Mat,Sports,2,101.49,202.98,2024-01-30
ITEM0000169,ORD000058,CUST00017,Knee Pad,Sports,2,74.24,148.48,2024-01-30
ITEM0000170,ORD000058,CUST00017,Yoga Mat,Sports,1,85.1,85.1,2024-01-30
ITEM0000171,ORD000059,CUST00017,Casual Tee,Apparel,3,85.05,255.15,2024-10-11
ITEM0000172,ORD000059,CUST00017,Cap,Apparel,3,82.85,248.55,2024-10-11
ITEM0000173,ORD000059,CUST00017,Hoodie,Apparel,2,83.5,167.0,2024-10-11
ITEM0000174,ORD000060,CUST00017,Aromatherapy Diffuser,Home & Garden,3,41.98,125.94,2024-10-31
ITEM0000175,ORD000060,CUST00017,Candle Set,Home & Garden,2,54.48,108.96,2024-10-31
ITEM0000176,ORD000061,CUST00017,Yoga Mat,Sports,2,34.83,69.66,2024-10-12
ITEM0000177,ORD000061,CUST00017,Gym Bag,Sports,2,35.64,71.28,2024-10-12
ITEM0000178,ORD000061,CUST00017,Gym Bag,Sports,2,42.44,84.88,2024-10-12
ITEM0000179,ORD000061,CUST00017,Knee Pad,Sports,3,44.54,133.62,2024-10-12
ITEM0000180,ORD000062,CUST00017,Cook Book,Books,1,31.68,31.68,2024-06-12
ITEM0000181,ORD000062,CUST00017,Tech Manual,Books,2,29.5,59.0,2024-06-12
ITEM0000182,ORD000062,CUST00017,Business Book,Books,2,36.36,72.72,2024-06-12
ITEM0000183,ORD000062,CUST00017,Art Book,Books,2,30.52,61.04,2024-06-12
ITEM0000184,ORD000062,CUST00017,Finance Guide,Books,1,27.54,27.54,2024-06-12
ITEM0000185,ORD000063,CUST00018,Trail Mix,Food & Drink,2,41.43,82.86,2024-04-05
ITEM0000186,ORD000063,CUST00018,Chili Sauce,Food & Drink,3,45.33,135.99,2024-04-05
ITEM0000187,ORD000064,CUST00019,Storage Box,Home & Garden,3,48.96,146.88,2024-03-31
ITEM0000188,ORD000065,CUST00019,Body Lotion,Beauty,2,20.13,40.26,2024-07-17
ITEM0000189,ORD000065,CUST00019,Lip Balm,Beauty,2,21.08,42.16,2024-07-17
ITEM0000190,ORD000065,CUST00019,Lip Balm,Beauty,1,22.36,22.36,2024-07-17
ITEM0000191,ORD000065,CUST00019,Sheet Mask,Beauty,3,20.19,60.57,2024-07-17
ITEM0000192,ORD000065,CUST00019,Sunscreen SPF50,Beauty,2,22.79,45.58,2024-07-17
ITEM0000193,ORD000066,CUST00019,Green Tea,Food & Drink,3,24.57,73.71,2024-03-10
ITEM0000194,ORD000066,CUST00019,Granola Bar,Food & Drink,1,23.85,23.85,2024-03-10
ITEM0000195,ORD000066,CUST00019,Chili Sauce,Food & Drink,1,19.25,19.25,2024-03-10
ITEM0000196,ORD000067,CUST00020,Sandals,Apparel,3,14.11,42.33,2024-07-16
ITEM0000197,ORD000067,CUST00020,Jeans,Apparel,3,14.15,42.45,2024-07-16
ITEM0000198,ORD000067,CUST00020,Sneakers,Apparel,1,17.38,17.38,2024-07-16
ITEM0000199,ORD000067,CUST00020,Sandals,Apparel,3,15.12,45.36,2024-07-16
ITEM0000200,ORD000068,CUST00021,Green Tea,Food & Drink,1,13.9,13.9,2024-11-30
ITEM0000201,ORD000068,CUST00021,Coconut Oil,Food & Drink,1,10.45,10.45,2024-11-30
ITEM0000202,ORD000068,CUST00021,Trail Mix,Food & Drink,1,14.33,14.33,2024-11-30
ITEM0000203,ORD000069,CUST00021,Sneakers,Apparel,2,67.08,134.16,2024-09-08
ITEM0000204,ORD000070,CUST00022,Wireless Earbuds,Electronics,2,569.63,1139.26,2024-10-02
ITEM0000205,ORD000071,CUST00022,Tech Manual,Books,3,52.74,158.22,2024-07-17
ITEM0000206,ORD000071,CUST00022,Cook Book,Books,3,71.97,215.91,2024-07-17
ITEM0000207,ORD000071,CUST00022,Business Book,Books,2,65.36,130.72,2024-07-17
ITEM0000208,ORD000072,CUST00022,Casual Tee,Apparel,3,615.79,1847.37,2024-06-18
ITEM0000209,ORD000073,CUST00022,Cushion Cover,Home & Garden,2,88.53,177.06,2024-07-21
ITEM0000210,ORD000073,CUST00022,Wall Art,Home & Garden,2,85.08,170.16,2024-07-21
ITEM0000211,ORD000073,CUST00022,Aromatherapy Diffuser,Home & Garden,2,85.38,170.76,2024-07-21
ITEM0000212,ORD000073,CUST00022,Wall Art,Home & Garden,3,83.43,250.29,2024-07-21
ITEM0000213,ORD000073,CUST00022,Desk Lamp,Home & Garden,3,77.98,233.94,2024-07-21
ITEM0000214,ORD000074,CUST00022,Rug,Home & Garden,3,142.39,427.17,2024-02-24
ITEM0000215,ORD000074,CUST00022,Storage Box,Home & Garden,3,168.48,505.44,2024-02-24
ITEM0000216,ORD000074,CUST00022,Candle Set,Home & Garden,3,183.42,550.26,2024-02-24
ITEM0000217,ORD000075,CUST00022,Granola Bar,Food & Drink,2,76.91,153.82,2024-03-20
ITEM0000218,ORD000075,CUST00022,Trail Mix,Food & Drink,2,65.24,130.48,2024-03-20
ITEM0000219,ORD000075,CUST00022,Protein Powder,Food & Drink,3,66.26,198.78,2024-03-20
ITEM0000220,ORD000075,CUST00022,Green Tea,Food & Drink,1,63.12,63.12,2024-03-20
ITEM0000221,ORD000075,CUST00022,Protein Powder,Food & Drink,3,92.57,277.71,2024-03-20
ITEM0000222,ORD000076,CUST00022,Running Shoes,Sports,1,115.36,115.36,2024-03-08
ITEM0000223,ORD000076,CUST00022,Water Bottle,Sports,3,127.76,383.28,2024-03-08
ITEM0000224,ORD000077,CUST00022,Granola Bar,Food & Drink,3,262.29,786.87,2024-12-03
ITEM0000225,ORD000077,CUST00022,Instant Coffee,Food & Drink,3,340.25,1020.75,2024-12-03
ITEM0000226,ORD000078,CUST00022,Yoga Mat,Sports,1,348.7,348.7,2024-04-18
ITEM0000227,ORD000079,CUST00022,Mouse Pad,Electronics,3,524.22,1572.66,2024-07-16
ITEM0000228,ORD000080,CUST00023,Cook Book,Books,2,76.8,153.6,2024-07-15
ITEM0000229,ORD000080,CUST00023,Self Help Book,Books,3,77.19,231.57,2024-07-15
ITEM0000230,ORD000081,CUST00023,Novel,Books,3,47.75,143.25,2024-10-08
ITEM0000231,ORD000081,CUST00023,Self Help Book,Books,1,41.31,41.31,2024-10-08
ITEM0000232,ORD000081,CUST00023,Tech Manual,Books,2,58.45,116.9,2024-10-08
ITEM0000233,ORD000082,CUST00023,Instant Coffee,Food & Drink,1,15.1,15.1,2024-05-22
ITEM0000234,ORD000082,CUST00023,Protein Powder,Food & Drink,2,15.76,31.52,2024-05-22
ITEM0000235,ORD000082,CUST00023,Green Tea,Food & Drink,2,14.69,29.38,2024-05-22
ITEM0000236,ORD000082,CUST00023,Protein Powder,Food & Drink,1,18.81,18.81,2024-05-22
ITEM0000237,ORD000082,CUST00023,Green Tea,Food & Drink,2,14.89,29.78,2024-05-22
ITEM0000238,ORD000083,CUST00024,Sunscreen SPF50,Beauty,2,53.16,106.32,2024-11-10
ITEM0000239,ORD000083,CUST00024,Moisturizer,Beauty,2,72.19,144.38,2024-11-10
ITEM0000240,ORD000083,CUST00024,Moisturizer,Beauty,2,63.0,126.0,2024-11-10
ITEM0000241,ORD000084,CUST00024,Batik Shirt,Apparel,3,52.47,157.41,2024-09-30
ITEM0000242,ORD000084,CUST00024,Hoodie,Apparel,3,47.67,143.01,2024-09-30
ITEM0000243,ORD000084,CUST00024,Casual Tee,Apparel,3,54.53,163.59,2024-09-30
ITEM0000244,ORD000084,CUST00024,Dress,Apparel,2,53.96,107.92,2024-09-30
ITEM0000245,ORD000085,CUST00024,Tech Manual,Books,1,93.88,93.88,2024-01-16
ITEM0000246,ORD000085,CUST00024,Cook Book,Books,1,98.4,98.4,2024-01-16
ITEM0000247,ORD000086,CUST00024,Power Bank,Electronics,3,193.17,579.51,2024-03-08
ITEM0000248,ORD000086,CUST00024,Smartphone Case,Electronics,2,154.32,308.64,2024-03-08
ITEM0000249,ORD000086,CUST00024,Webcam,Electronics,3,218.66,655.98,2024-03-08
ITEM0000250,ORD000087,CUST00024,Green Tea,Food & Drink,2,525.36,1050.72,2024-08-24
ITEM0000251,ORD000088,CUST00024,Water Bottle,Sports,3,237.31,711.93,2024-05-31
ITEM0000252,ORD000089,CUST00024,Dress,Apparel,1,147.11,147.11,2024-10-30
ITEM0000253,ORD000089,CUST00024,Casual Tee,Apparel,2,141.97,283.94,2024-10-30
ITEM0000254,ORD000089,CUST00024,Sandals,Apparel,2,116.04,232.08,2024-10-30
ITEM0000255,ORD000090,CUST00025,Jeans,Apparel,1,56.51,56.51,2024-09-05
ITEM0000256,ORD000090,CUST00025,Cap,Apparel,1,80.26,80.26,2024-09-05
ITEM0000257,ORD000090,CUST00025,Batik Shirt,Apparel,2,79.86,159.72,2024-09-05
ITEM0000258,ORD000090,CUST00025,Hoodie,Apparel,3,57.83,173.49,2024-09-05
ITEM0000259,ORD000091,CUST00025,Dress,Apparel,1,106.37,106.37,2024-06-24
ITEM0000260,ORD000091,CUST00025,Cap,Apparel,1,116.86,116.86,2024-06-24
ITEM0000261,ORD000091,CUST00025,Sandals,Apparel,3,134.71,404.13,2024-06-24
ITEM0000262,ORD000091,CUST00025,Dress,Apparel,1,96.1,96.1,2024-06-24
ITEM0000263,ORD000092,CUST00025,Face Serum,Beauty,1,172.25,172.25,2024-09-21
ITEM0000264,ORD000092,CUST00025,Sheet Mask,Beauty,2,169.26,338.52,2024-09-21
ITEM0000265,ORD000092,CUST00025,Sunscreen SPF50,Beauty,1,142.78,142.78,2024-09-21
ITEM0000266,ORD000092,CUST00025,Sunscreen SPF50,Beauty,2,169.34,338.68,2024-09-21
ITEM0000267,ORD000093,CUST00025,Power Bank,Electronics,3,340.85,1022.55,2024-01-01
ITEM0000268,ORD000094,CUST00025,Aromatherapy Diffuser,Home & Garden,3,103.9,311.7,2024-01-23
ITEM0000269,ORD000094,CUST00025,Candle Set,Home & Garden,1,119.77,119.77,2024-01-23
ITEM0000270,ORD000094,CUST00025,Aromatherapy Diffuser,Home & Garden,3,112.55,337.65,2024-01-23
ITEM0000271,ORD000094,CUST00025,Storage Box,Home & Garden,1,143.82,143.82,2024-01-23
ITEM0000272,ORD000095,CUST00025,Coconut Oil,Food & Drink,2,188.4,376.8,2024-11-30
ITEM0000273,ORD000095,CUST00025,Trail Mix,Food & Drink,3,149.43,448.29,2024-11-30
ITEM0000274,ORD000095,CUST00025,Coconut Oil,Food & Drink,2,180.99,361.98,2024-11-30
ITEM0000275,ORD000096,CUST00025,Novel,Books,2,95.15,190.3,2024-03-08
ITEM0000276,ORD000096,CUST00025,Business Book,Books,3,93.7,281.1,2024-03-08
ITEM0000277,ORD000096,CUST00025,Art Book,Books,2,73.87,147.74,2024-03-08
ITEM0000278,ORD000096,CUST00025,Novel,Books,3,69.86,209.58,2024-03-08
ITEM0000279,ORD000097,CUST00025,Mouse Pad,Electronics,3,52.31,156.93,2024-03-19
ITEM0000280,ORD000097,CUST00025,Webcam,Electronics,2,53.04,106.08,2024-03-19
ITEM0000281,ORD000097,CUST00025,Smart Watch,Electronics,2,54.06,108.12,2024-03-19
ITEM0000282,ORD000097,CUST00025,Power Bank,Electronics,2,68.8,137.6,2024-03-19
ITEM0000283,ORD000097,CUST00025,Keyboard,Electronics,2,60.62,121.24,2024-03-19
ITEM0000284,ORD000098,CUST00025,Art Book,Books,1,353.12,353.12,2024-08-10
