city,category,month,revenue,orders,avg_order_value
Jakarta,Sports,2024-02,2420.64,9,268.96
Jakarta,Sports,2024-03,2459.16,7,351.31
Jakarta,Sports,2024-04,2899.48,9,322.16
Jakarta,Sports,2024-05,2652.53,10,265.25
Jakarta,Sports,2024-06,2654.35,9,294.93
Jakarta,Sports,2024-07,3277.83,10,327.78
Jakarta,Sports,2024-08,3084.58,10,308.46
Jakarta,Sports,2024-09,2871.52,10,287.15
Jakarta,Sports,2024-10,2824.32,9,313.81
Jakarta,Sports,2024-11,3558.74,16,222.42
Jakarta,Sports,2024-12,4509.33,15,300.62
Jakarta,Books,2024-01,1276.66,6,212.78
Jakarta,Books,2024-02,1115.14,3,371.71
Jakarta,Books,2024-03,1275.15,4,318.79
Jakarta,Books,2024-04,1414.86,5,282.97
Jakarta,Books,2024-05,1356.94,5,271.39
Jakarta,Books,2024-06,1358.05,5,271.61
Jakarta,Books,2024-07,1537.1,5,307.42
Jakarta,Books,2024-08,1452.83,6,242.14
Jakarta,Books,2024-09,1524.2,5,304.84
Jakarta,Books,2024-10,1727.49,6,287.92
Jakarta,Books,2024-11,1731.13,6,288.52
Jakarta,Books,2024-12,1952.75,8,244.09
Jakarta,Food & Drink,2024-01,2231.86,7,318.84
Jakarta,Food & Drink,2024-02,2451.21,8,306.4
Jakarta,Food & Drink,2024-03,2521.84,8,315.23
Jakarta,Food & Drink,2024-04,2993.65,11,272.15
Jakarta,Food & Drink,2024-05,2561.82,8,320.23
Jakarta,Food & Drink,2024-06,3165.03,10,316.5
Jakarta,Food & Drink,2024-07,3162.79,11,287.53
Jakarta,Food & Drink,2024-08,3093.98,10,309.4
Jakarta,Food & Drink,2024-09,3201.45,11,291.04
Jakarta,Food & Drink,2024-10,3573.1,14,255.22
Jakarta,Food & Drink,2024-11,3278.64,12,273.22
Jakarta,Food & Drink,2024-12,3646.31,12,303.86
Bali,Electronics,2024-01,1221.86,7,174.55
Bali,Electronics,2024-02,1204.63,6,200.77
Bali,Electronics,2024-03,1299.69,6,216.62
Bali,Electronics,2024-04,1446.89,6,241.15
Bali,Electronics,2024-05,1349.94,6,224.99
Bali,Electronics,2024-06,1505.27,6,250.88
Bali,Electronics,2024-07,1312.08,7,187.44
Bali,Electronics,2024-08,1307.28,7,186.75
Bali,Electronics,2024-09,1573.15,7,224.74
Bali,Electronics,2024-10,1421.0,6,236.83
Bali,Electronics,2024-11,1547.67,9,171.96
Bali,Electronics,2024-12,1908.73,8,238.59
Bali,Apparel,2024-01,1145.48,5,229.1
Bali,Apparel,2024-02,1096.25,6,182.71
Bali,Apparel,2024-03,1225.27,5,245.05
Bali,Apparel,2024-04,1308.95,5,261.79
Bali,Apparel,2024-05,1374.6,6,229.1
Bali,Apparel,2024-06,1248.31,5,249.66
Bali,Apparel,2024-07,1420.97,6,236.83
Bali,Apparel,2024-08,1394.69,7,199.24
Bali,Apparel,2024-09,1307.98,5,261.6
Bali,Apparel,2024-10,1404.13,8,175.52
Bali,Apparel,2024-11,1576.11,7,225.16
Bali,Apparel,2024-12,2170.39,11,197.31
Bali,Home & Garden,2024-01,2296.33,10,229.63
Bali,Home & Garden,2024-02,2437.98,12,203.16
Bali,Home & Garden,2024-03,2659.03,15,177.27
Bali,Home & Garden,2024-04,2721.66,16,170.1
Bali,Home & Garden,2024-05,2548.65,11,231.7
Bali,Home & Garden,2024-06,2561.68,11,232.88
Bali,Home & Garden,2024-07,2834.51,12,236.21
Bali,Home & Garden,2024-08,2587.06,12,215.59
Bali,Home & Garden,2024-09,3023.35,15,201.56
Bali,Home & Garden,2024-10,3419.5,17,201.15
Bali,Home & Garden,2024-11,2864.93,16,179.06
Bali,Home & Garden,2024-12,3834.38,23,166.71
Bali,Beauty,2024-01,919.88,4,229.97
Bali,Beauty,2024-02,846.13,4,211.53
Bali,Beauty,2024-03,1062.54,6,177.09
Bali,Beauty,2024-04,1103.6,6,183.93
Bali,Beauty,2024-05,982.05,5,196.41
Bali,Beauty,2024-06,1136.9,6,189.48
Bali,Beauty,2024-07,1224.99,6,204.16
Bali,Beauty,2024-08,1090.71,5,218.14
Bali,Beauty,2024-09,1198.9,6,199.82
Bali,Beauty,2024-10,1344.96,5,268.99
Bali,Beauty,2024-11,1240.33,5,248.07
Bali,Beauty,2024-12,1528.49,8,191.06
Bali,Sports,2024-01,1064.21,4,266.05
Bali,Sports,2024-02,892.81,5,178.56
Bali,Sports,2024-03,1087.4,6,181.23
Bali,Sports,2024-04,1113.87,5,222.77
Bali,Sports,2024-05,992.41,5,198.48
Bali,Sports,2024-06,1153.43,7,164.78
Bali,Sports,2024-07,1239.37,7,177.05
Bali,Sports,2024-08,1157.94,7,165.42
Bali,Sports,2024-09,1310.92,6,218.49
Bali,Sports,2024-10,1275.74,8,159.47
Bali,Sports,2024-11,1347.68,7,192.53
Bali,Sports,2024-12,1536.47,7,219.5
Bali,Books,2024-01,636.65,4,159.16
Bali,Books,2024-02,637.88,3,212.63
Bali,Books,2024-03,654.64,3,218.21
Bali,Books,2024-04,730.5,4,182.62
Bali,Books,2024-05,736.92,4,184.23
Bali,Books,2024-06,801.03,5,160.21
Bali,Books,2024-07,797.55,4,199.39
Bali,Books,2024-08,694.66,4,173.66
Bali,Books,2024-09,724.7,4,181.18
Bali,Books,2024-10,773.6,4,193.4
Bali,Books,2024-11,797.79,4,199.45
Bali,Books,2024-12,1002.82,6,167.14
Bali,Food & Drink,2024-01,640.02,3,213.34
Bali,Food & Drink,2024-02,672.68,3,224.23
Bali,Food & Drink,2024-03,605.41,3,201.8
Bali,Food & Drink,2024-04,771.74,3,257.25
Bali,Food & Drink,2024-05,747.86,4,186.97
Bali,Food & Drink,2024-06,669.13,3,223.04
Bali,Food & Drink,2024-07,798.42,5,159.68
Bali,Food & Drink,2024-08,720.72,4,180.18
Bali,Food & Drink,2024-09,872.82,5,174.56
Bali,Food & Drink,2024-10,813.23,5,162.65
Bali,Food & Drink,2024-11,792.23,5,158.45
Bali,Food & Drink,2024-12,1001.61,4,250.4
Bandung,Electronics,2024-01,1088.53,5,217.71
Bandung,Electronics,2024-02,978.79,5,195.76
Bandung,Electronics,2024-03,1089.86,5,217.97
Bandung,Electronics,2024-04,1300.01,8,162.5
Bandung,Electronics,2024-05,1235.04,6,205.84
Bandung,Electronics,2024-06,1359.06,6,226.51
Bandung,Electronics,2024-07,1216.55,6,202.76
Bandung,Electronics,2024-08,1258.48,7,179.78
Bandung,Electronics,2024-09,1544.18,9,171.58
Bandung,Electronics,2024-10,1419.43,6,236.57
Bandung,Electronics,2024-11,1639.0,8,204.88
Bandung,Electronics,2024-12,2010.16,12,167.51
Bandung,Apparel,2024-01,3779.19,24,157.47
Bandung,Apparel,2024-02,3797.78,23,165.12
Bandung,Apparel,2024-03,3795.29,19,199.75
Bandung,Apparel,2024-04,4248.76,20,212.44
Bandung,Apparel,2024-05,3739.65,20,186.98
Bandung,Apparel,2024-06,4039.56,26,155.37
Bandung,Apparel,2024-07,4458.51,20,222.93
Bandung,Apparel,2024-08,4803.64,29,165.64
Bandung,Apparel,2024-09,4845.64,29,167.09
Bandung,Apparel,2024-10,4523.21,28,161.54
Bandung,Apparel,2024-11,4564.69,25,182.59
Bandung,Apparel,2024-12,6233.81,30,207.79
Bandung,Home & Garden,2024-01,1010.79,5,202.16
Bandung,Home & Garden,2024-02,917.57,4,229.39
Bandung,Home & Garden,2024-03,1060.85,6,176.81
Bandung,Home & Garden,2024-04,1048.25,5,209.65
Bandung,Home & Garden,2024-05,962.12,5,192.42
Bandung,Home & Garden,2024-06,1033.99,6,172.33
Bandung,Home & Garden,2024-07,1171.09,6,195.18
Bandung,Home & Garden,2024-08,1227.5,6,204.58
Bandung,Home & Garden,2024-09,1293.9,8,161.74
Bandung,Home & Garden,2024-10,1258.07,7,179.72
Bandung,Home & Garden,2024-11,1380.8,6,230.13
Bandung,Home & Garden,2024-12,1702.34,11,154.76
Bandung,Beauty,2024-01,1327.06,8,165.88
Bandung,Beauty,2024-02,1407.58,9,156.4
Bandung,Beauty,2024-03,1332.06,6,222.01
Bandung,Beauty,2024-04,1425.58,8,178.2
Bandung,Beauty,2024-05,1477.24,7,211.03
Bandung,Beauty,2024-06,1521.35,7,217.34
Bandung,Beauty,2024-07,1552.99,9,172.55
Bandung,Beauty,2024-08,1588.19,8,198.52
Bandung,Beauty,2024-09,1466.97,8,183.37
Bandung,Beauty,2024-10,1726.05,11,156.91
Bandung,Beauty,2024-11,1608.64,8,201.08
Bandung,Beauty,2024-12,2251.74,13,173.21
Bandung,Sports,2024-01,951.71,6,158.62
Bandung,Sports,2024-02,940.66,4,235.16
Bandung,Sports,2024-03,985.87,6,164.31
Bandung,Sports,2024-04,973.15,5,194.63
Bandung,Sports,2024-05,1081.02,5,216.2
Bandung,Sports,2024-06,1093.29,5,218.66
Bandung,Sports,2024-07,1181.77,7,168.82
Bandung,Sports,2024-08,1205.78,7,172.25
Bandung,Sports,2024-09,1114.2,5,222.84
Bandung,Sports,2024-10,1351.78,8,168.97
Bandung,Sports,2024-11,1280.85,6,213.47
Bandung,Sports,2024-12,1393.24,8,174.16
Bandung,Books,2024-01,520.71,2,260.36
Bandung,Books,2024-02,570.91,3,190.3
Bandung,Books,2024-03,627.85,4,156.96
Bandung,Books,2024-04,690.06,4,172.51
Bandung,Books,2024-05,632.79,3,210.93
Bandung,Books,2024-06,694.58,4,173.65
Bandung,Books,2024-07,660.29,3,220.1
Bandung,Books,2024-08,736.24,4,184.06
Bandung,Books,2024-09,740.37,4,185.09
Bandung,Books,2024-10,757.48,3,252.49
Bandung,Books,2024-11,697.44,4,174.36
Bandung,Books,2024-12,945.06,6,157.51
Bandung,Food & Drink,2024-01,1049.04,5,209.81
Bandung,Food & Drink,2024-02,899.77,5,179.95
Bandung,Food & Drink,2024-03,1122.33,7,160.33
Bandung,Food & Drink,2024-04,1062.12,5,212.42
Bandung,Food & Drink,2024-05,970.59,5,194.12
Bandung,Food & Drink,2024-06,1126.94,5,225.39
Bandung,Food & Drink,2024-07,1124.66,6,187.44
Bandung,Food & Drink,2024-08,1265.77,6,210.96
Bandung,Food & Drink,2024-09,1231.24,7,175.89
Bandung,Food & Drink,2024-10,1351.53,6,225.25
Bandung,Food & Drink,2024-11,1259.71,8,157.46
Bandung,Food & Drink,2024-12,1530.96,7,218.71
Surabaya,Electronics,2024-01,2392.14,11,217.47
Surabaya,Electronics,2024-02,2251.26,9,250.14
Surabaya,Electronics,2024-03,2545.92,9,282.88
Surabaya,Electronics,2024-04,2556.63,13,196.66
Surabaya,Electronics,2024-05,2608.33,12,217.36
Surabaya,Electronics,2024-06,2518.33,10,251.83
Surabaya,Electronics,2024-07,2979.01,12,248.25
Surabaya,Electronics,2024-08,2994.82,13,230.37
Surabaya,Electronics,2024-09,2881.49,13,221.65
Surabaya,Electronics,2024-10,2623.93,12,218.66
Surabaya,Electronics,2024-11,3014.14,13,231.86
Surabaya,Electronics,2024-12,3865.79,17,227.4
Surabaya,Apparel,2024-01,1993.2,8,249.15
Surabaya,Apparel,2024-02,1697.57,6,282.93
Surabaya,Apparel,2024-03,2168.33,9,240.93
Surabaya,Apparel,2024-04,1829.57,9,203.29
Surabaya,Apparel,2024-05,2196.96,11,199.72
Surabaya,Apparel,2024-06,2310.41,12,192.53
Surabaya,Apparel,2024-07,2111.45,10,211.14
Surabaya,Apparel,2024-08,2431.5,10,243.15
Surabaya,Apparel,2024-09,2181.45,9,242.38
Surabaya,Apparel,2024-10,2138.56,8,267.32
Surabaya,Apparel,2024-11,2282.9,9,253.66
Surabaya,Apparel,2024-12,3275.26,12,272.94
Surabaya,Home & Garden,2024-01,1592.59,7,227.51
Surabaya,Home & Garden,2024-02,1341.45,5,268.29
Surabaya,Home & Garden,2024-03,1730.99,8,216.37
Surabaya,Home & Garden,2024-04,1717.07,6,286.18
Surabaya,Home & Garden,2024-05,1643.0,6,273.83
Surabaya,Home & Garden,2024-06,1942.75,9,215.86
Surabaya,Home & Garden,2024-07,1802.61,10,180.26
Surabaya,Home & Garden,2024-08,1691.35,7,241.62
Surabaya,Home & Garden,2024-09,1959.15,7,279.88
Surabaya,Home & Garden,2024-10,2079.79,8,259.97
Surabaya,Home & Garden,2024-11,2118.09,9,235.34
Surabaya,Home & Garden,2024-12,2629.49,11,239.04
Surabaya,Beauty,2024-01,1285.31,5,257.06
Surabaya,Beauty,2024-02,1325.95,6,220.99
Surabaya,Beauty,2024-03,1241.76,5,248.35
Surabaya,Beauty,2024-04,1273.14,6,212.19
Surabaya,Beauty,2024-05,1411.82,6,235.3
Surabaya,Beauty,2024-06,1428.09,6,238.01
Surabaya,Beauty,2024-07,1351.89,6,225.32
Surabaya,Beauty,2024-08,1410.78,7,201.54
Surabaya,Beauty,2024-09,1606.47,8,200.81
Surabaya,Beauty,2024-10,1472.5,7,210.36
Surabaya,Beauty,2024-11,1501.09,6,250.18
Surabaya,Beauty,2024-12,2122.12,9,235.79
Surabaya,Sports,2024-01,1251.35,5,250.27
Surabaya,Sports,2024-02,1152.38,4,288.1
Surabaya,Sports,2024-03,1287.12,6,214.52
Surabaya,Sports,2024-04,1272.11,7,181.73
Surabaya,Sports,2024-05,1408.88,6,234.81
Surabaya,Sports,2024-06,1465.94,8,183.24
Surabaya,Sports,2024-07,1384.34,7,197.76
Surabaya,Sports,2024-08,1438.43,7,205.49
Surabaya,Sports,2024-09,1426.15,6,237.69
Surabaya,Sports,2024-10,1617.73,6,269.62
Surabaya,Sports,2024-11,1813.15,7,259.02
Surabaya,Sports,2024-12,1821.41,7,260.2
Surabaya,Books,2024-01,990.27,4,247.57
Surabaya,Books,2024-02,980.45,4,245.11
Surabaya,Books,2024-03,1195.36,5,239.07
Surabaya,Books,2024-04,1053.91,4,263.48
Surabaya,Books,2024-05,1245.93,6,207.66
Surabaya,Books,2024-06,1173.65,6,195.61
Surabaya,Books,2024-07,1304.06,5,260.81
Surabaya,Books,2024-08,1163.14,5,232.63
Surabaya,Books,2024-09,1207.61,6,201.27
Surabaya,Books,2024-10,1407.59,7,201.08
Surabaya,Books,2024-11,1350.45,5,270.09
Surabaya,Books,2024-12,1520.0,6,253.33
Surabaya,Food & Drink,2024-01,3417.18,19,179.85
Surabaya,Food & Drink,2024-02,2885.21,12,240.43
Surabaya,Food & Drink,2024-03,3872.71,15,258.18
Surabaya,Food & Drink,2024-04,3649.08,19,192.06
Surabaya,Food & Drink,2024-05,3833.7,15,255.58
Surabaya,Food & Drink,2024-06,4371.56,17,257.15
Surabaya,Food & Drink,2024-07,4146.66,15,276.44
Surabaya,Food & Drink,2024-08,4286.86,22,194.86
Surabaya,Food & Drink,2024-09,4089.24,19,215.22
Surabaya,Food & Drink,2024-10,3906.88,21,186.04
Surabaya,Food & Drink,2024-11,4863.38,21,231.59
Surabaya,Food & Drink,2024-12,5675.33,28,202.69
Medan,Electronics,2024-01,838.16,5,167.63
Medan,Electronics,2024-02,872.75,5,174.55
Medan,Electronics,2024-03,844.09,4,211.02
Medan,Electronics,2024-04,984.66,5,196.93
Medan,Electronics,2024-05,1026.55,5,205.31
Medan,Electronics,2024-06,1051.93,5,210.39
Medan,Electronics,2024-07,944.49,4,236.12
Medan,Electronics,2024-08,962.79,5,192.56
Medan,Electronics,2024-09,1033.27,7,147.61
Medan,Electronics,2024-10,1211.78,7,173.11
Medan,Electronics,2024-11,1163.46,6,193.91
Medan,Electronics,2024-12,1455.61,8,181.95
Medan,Apparel,2024-01,947.4,5,189.48
Medan,Apparel,2024-02,1057.84,6,176.31
Medan,Apparel,2024-03,1236.95,8,154.62
Medan,Apparel,2024-04,1187.72,5,237.54
Medan,Apparel,2024-05,1247.02,6,207.84
Medan,Apparel,2024-06,1165.93,5,233.19
Medan,Apparel,2024-07,1243.63,6,207.27
Medan,Apparel,2024-08,1128.34,7,161.19
Medan,Apparel,2024-09,1295.2,7,185.03
Medan,Apparel,2024-10,1471.71,8,183.96
Medan,Apparel,2024-11,1475.39,7,210.77
Medan,Apparel,2024-12,1644.83,9,182.76
Medan,Home & Garden,2024-01,920.86,5,184.17
Medan,Home & Garden,2024-02,777.44,5,155.49
Medan,Home & Garden,2024-03,1031.51,6,171.92
Medan,Home & Garden,2024-04,901.82,4,225.46
Medan,Home & Garden,2024-05,1082.59,5,216.52
Medan,Home & Garden,2024-06,1137.71,5,227.54
Medan,Home & Garden,2024-07,1042.67,5,208.53
Medan,Home & Garden,2024-08,1009.88,6,168.31
Medan,Home & Garden,2024-09,980.37,5,196.07
Medan,Home & Garden,2024-10,1135.75,6,189.29
Medan,Home & Garden,2024-11,1087.01,5,217.4
Medan,Home & Garden,2024-12,1324.15,7,189.16
Medan,Beauty,2024-01,812.61,5,162.52
Medan,Beauty,2024-02,696.9,4,174.22
Medan,Beauty,2024-03,758.56,4,189.64
Medan,Beauty,2024-04,826.55,5,165.31
Medan,Beauty,2024-05,795.17,4,198.79
Medan,Beauty,2024-06,756.88,4,189.22
Medan,Beauty,2024-07,818.43,4,204.61
Medan,Beauty,2024-08,872.5,4,218.12
Medan,Beauty,2024-09,824.81,4,206.2
Medan,Beauty,2024-10,1035.48,6,172.58
Medan,Beauty,2024-11,960.86,6,160.14
Medan,Beauty,2024-12,1235.76,8,154.47
Medan,Sports,2024-01,760.39,4,190.1
Medan,Sports,2024-02,765.97,5,153.19
Medan,Sports,2024-03,803.04,5,160.61
Medan,Sports,2024-04,889.2,6,148.2
Medan,Sports,2024-05,747.07,5,149.41
Medan,Sports,2024-06,860.44,6,143.41
Medan,Sports,2024-07,894.28,5,178.86
Medan,Sports,2024-08,905.23,4,226.31
Medan,Sports,2024-09,915.36,5,183.07
Medan,Sports,2024-10,1063.01,6,177.17
Medan,Sports,2024-11,1060.27,6,176.71
Medan,Sports,2024-12,1139.57,5,227.91
Medan,Books,2024-01,626.33,4,156.58
Medan,Books,2024-02,559.42,3,186.47
Medan,Books,2024-03,620.77,3,206.92
Medan,Books,2024-04,676.42,3,225.47
Medan,Books,2024-05,714.42,4,178.6
Medan,Books,2024-06,632.06,3,210.69
Medan,Books,2024-07,692.58,4,173.15
Medan,Books,2024-08,785.21,4,196.3
Medan,Books,2024-09,804.53,4,201.13
Medan,Books,2024-10,756.49,4,189.12
Medan,Books,2024-11,741.97,4,185.49
Medan,Books,2024-12,874.05,5,174.81
Medan,Food & Drink,2024-01,2244.22,14,160.3
Medan,Food & Drink,2024-02,2632.49,15,175.5
Medan,Food & Drink,2024-03,2685.58,15,179.04
Medan,Food & Drink,2024-04,2465.58,11,224.14
Medan,Food & Drink,2024-05,2708.82,13,208.37
Medan,Food & Drink,2024-06,2935.44,14,209.67
Medan,Food & Drink,2024-07,3221.6,19,169.56
Medan,Food & Drink,2024-08,3044.75,19,160.25
Medan,Food & Drink,2024-09,3187.55,18,177.09
Medan,Food & Drink,2024-10,3346.66,16,209.17
Medan,Food & Drink,2024-11,3395.11,19,178.69
Medan,Food & Drink,2024-12,4555.75,24,189.82
Yogyakarta,Electronics,2024-01,464.54,2,232.27
Yogyakarta,Electronics,2024-02,456.61,3,152.2
Yogyakarta,Electronics,2024-03,529.7,3,176.57
Yogyakarta,Electronics,2024-04,482.73,3,160.91
Yogyakarta,Electronics,2024-05,485.43,3,161.81
Yogyakarta,Electronics,2024-06,519.26,4,129.81
Yogyakarta,Electronics,2024-07,550.8,3,183.6
Yogyakarta,Electronics,2024-08,522.79,4,130.7
Yogyakarta,Electronics,2024-09,631.11,4,157.78
Yogyakarta,Electronics,2024-10,613.88,4,153.47
Yogyakarta,Electronics,2024-11,601.12,4,150.28
Yogyakarta,Electronics,2024-12,856.22,7,122.32
Yogyakarta,Apparel,2024-01,643.12,4,160.78
Yogyakarta,Apparel,2024-02,631.2,4,157.8
Yogyakarta,Apparel,2024-03,689.44,4,172.36
Yogyakarta,Apparel,2024-04,708.29,5,141.66
Yogyakarta,Apparel,2024-05,748.17,4,187.04
Yogyakarta,Apparel,2024-06,856.79,5,171.36
Yogyakarta,Apparel,2024-07,755.73,4,188.93
Yogyakarta,Apparel,2024-08,896.77,6,149.46
Yogyakarta,Apparel,2024-09,793.3,5,158.66
Yogyakarta,Apparel,2024-10,1034.31,6,172.38
Yogyakarta,Apparel,2024-11,892.35,5,178.47
Yogyakarta,Apparel,2024-12,1217.96,7,173.99
Yogyakarta,Home & Garden,2024-01,622.3,4,155.57
Yogyakarta,Home & Garden,2024-02,570.73,4,142.68
Yogyakarta,Home & Garden,2024-03,653.5,4,163.38
Yogyakarta,Home & Garden,2024-04,627.15,4,156.79
Yogyakarta,Home & Garden,2024-05,606.28,4,151.57
Yogyakarta,Home & Garden,2024-06,606.57,4,151.64
Yogyakarta,Home & Garden,2024-07,742.55,5,148.51
Yogyakarta,Home & Garden,2024-08,677.31,5,135.46
Yogyakarta,Home & Garden,2024-09,636.42,4,159.1
Yogyakarta,Home & Garden,2024-10,760.31,6,126.72
Yogyakarta,Home & Garden,2024-11,827.98,5,165.6
Yogyakarta,Home & Garden,2024-12,864.02,5,172.8
Yogyakarta,Beauty,2024-01,438.82,3,146.27
Yogyakarta,Beauty,2024-02,494.06,3,164.69
Yogyakarta,Beauty,2024-03,550.87,3,183.62
Yogyakarta,Beauty,2024-04,531.32,3,177.11
Yogyakarta,Beauty,2024-05,481.07,3,160.36
Yogyakarta,Beauty,2024-06,521.67,3,173.89
Yogyakarta,Beauty,2024-07,609.22,4,152.31
Yogyakarta,Beauty,2024-08,587.8,3,195.93
Yogyakarta,Beauty,2024-09,624.11,4,156.03
Yogyakarta,Beauty,2024-10,557.08,4,139.27
Yogyakarta,Beauty,2024-11,642.43,4,160.61
Yogyakarta,Beauty,2024-12,861.1,6,143.52
Yogyakarta,Sports,2024-01,735.12,5,147.02
Yogyakarta,Sports,2024-02,593.42,3,197.81
Yogyakarta,Sports,2024-03,773.75,5,154.75
Yogyakarta,Sports,2024-04,672.07,5,134.41
Yogyakarta,Sports,2024-05,784.43,5,156.89
Yogyakarta,Sports,2024-06,746.53,5,149.31
Yogyakarta,Sports,2024-07,731.41,4,182.85
Yogyakarta,Sports,2024-08,758.07,4,189.52
Yogyakarta,Sports,2024-09,807.07,5,161.41
Yogyakarta,Sports,2024-10,816.76,5,163.35
Yogyakarta,Sports,2024-11,959.71,6,159.95
Yogyakarta,Sports,2024-12,1185.5,7,169.36
Yogyakarta,Books,2024-01,1026.4,6,171.07
Yogyakarta,Books,2024-02,948.17,6,158.03
Yogyakarta,Books,2024-03,1094.45,6,182.41
Yogyakarta,Books,2024-04,1228.55,7,175.51
Yogyakarta,Books,2024-05,1234.03,7,176.29
Yogyakarta,Books,2024-06,1211.62,7,173.09
Yogyakarta,Books,2024-07,1151.47,8,143.93
Yogyakarta,Books,2024-08,1235.89,8,154.49
Yogyakarta,Books,2024-09,1307.63,7,186.8
Yogyakarta,Books,2024-10,1423.87,10,142.39
Yogyakarta,Books,2024-11,1579.6,12,131.63
Yogyakarta,Books,2024-12,1572.97,11,143.0
Yogyakarta,Food & Drink,2024-01,902.3,6,150.38
Yogyakarta,Food & Drink,2024-02,697.23,5,139.45
Yogyakarta,Food & Drink,2024-03,789.98,6,131.66
Yogyakarta,Food & Drink,2024-04,873.55,5,174.71
Yogyakarta,Food & Drink,2024-05,943.58,6,157.26
Yogyakarta,Food & Drink,2024-06,996.57,6,166.09
Yogyakarta,Food & Drink,2024-07,1071.96,6,178.66
Yogyakarta,Food & Drink,2024-08,1011.3,6,168.55
Yogyakarta,Food & Drink,2024-09,926.85,5,185.37
Yogyakarta,Food & Drink,2024-10,1124.7,8,140.59
Yogyakarta,Food & Drink,2024-11,975.24,6,162.54
Yogyakarta,Food & Drink,2024-12,1352.85,9,150.32
Makassar,Electronics,2024-01,747.21,4,186.8
Makassar,Electronics,2024-02,723.69,4,180.92
Makassar,Electronics,2024-03,799.37,3,266.46
Makassar,Electronics,2024-04,950.56,5,190.11
Makassar,Electronics,2024-05,887.65,4,221.91
Makassar,Electronics,2024-06,944.26,4,236.06
Makassar,Electronics,2024-07,860.65,5,172.13
Makassar,Electronics,2024-08,919.78,4,229.94
Makassar,Electronics,2024-09,1088.32,6,181.39
Makassar,Electronics,2024-10,1154.78,6,192.46
Makassar,Electronics,2024-11,1116.51,6,186.09
Makassar,Electronics,2024-12,1473.95,7,210.56
Makassar,Apparel,2024-01,892.56,5,178.51
Makassar,Apparel,2024-02,815.6,5,163.12
Makassar,Apparel,2024-03,965.96,4,241.49
Makassar,Apparel,2024-04,1114.79,5,222.96
Makassar,Apparel,2024-05,1158.21,5,231.64
Makassar,Apparel,2024-06,1116.68,5,223.34
Makassar,Apparel,2024-07,1245.34,6,207.56
Makassar,Apparel,2024-08,1204.92,5,240.98
Makassar,Apparel,2024-09,1282.52,6,213.75
Makassar,Apparel,2024-10,1201.0,6,200.17
Makassar,Apparel,2024-11,1126.08,6,187.68
Makassar,Apparel,2024-12,1397.05,6,232.84
Makassar,Home & Garden,2024-01,907.85,4,226.96
Makassar,Home & Garden,2024-02,721.96,4,180.49
