session_id,customer_id,session_date,acquisition_source,device,city,pages_viewed,session_duration_sec,converted,bounced,segment
SESS0000048,CUST00648,2024-08-01,Organic,Mobile,Surabaya,4,123,0,0,Lost
SESS0000049,CUST01195,2024-08-11,Email,Mobile,Surabaya,17,1423,1,0,Loyal
SESS0000050,CUST00187,2024-05-16,Organic,Mobile,Jakarta,8,63,0,0,At Risk
SESS0000051,CUST01869,2024-09-15,Social Media,Mobile,Jakarta,2,105,0,0,At Risk
SESS0000052,CUST01451,2024-06-07,Email,Mobile,Bali,8,955,0,0,At Risk
SESS0000053,CUST00507,2024-03-27,Organic,Mobile,Bandung,18,832,0,0,At Risk
SESS0000054,CUST00048,2024-09-21,Email,Mobile,Jakarta,5,1348,0,0,At Risk
SESS0000055,CUST01896,2024-10-24,Referral,Mobile,Jakarta,14,802,0,0,At Risk
SESS0000056,CUST01897,2024-12-19,Organic,Mobile,Yogyakarta,11,424,0,0,Champions
SESS0000057,CUST00612,2024-04-11,Organic,Mobile,Medan,10,1797,0,0,New
SESS0000058,CUST00006,2024-07-12,Email,Mobile,Bandung,15,784,0,0,New
SESS0000059,CUST00921,2024-07-26,Email,Mobile,Yogyakarta,18,999,0,0,Lost
SESS0000060,CUST01374,2024-12-10,Organic,Desktop,Jakarta,10,1637,1,0,New
SESS0000061,CUST01233,2024-04-19,Email,Mobile,Jakarta,1,1227,0,0,Lost
SESS0000062,CUST00029,2024-06-26,Email,Desktop,Bandung,17,1379,0,0,Lost
SESS0000063,CUST01863,2024-06-11,Organic,Mobile,Bali,11,89,0,0,New
SESS0000064,CUST01292,2024-10-05,Social Media,Desktop,Makassar,14,233,1,0,New
SESS0000065,CUST01183,2024-03-03,Email,Desktop,Jakarta,6,1413,1,0,Lost
SESS0000066,CUST00185,2024-10-15,Organic,Desktop,Yogyakarta,10,642,0,0,New
SESS0000067,CUST00868,2024-09-01,Organic,Desktop,Makassar,7,1571,0,0,At Risk
SESS0000068,CUST00407,2024-02-23,Paid Search,Mobile,Jakarta,7,286,0,0,Lost
SESS0000069,CUST00494,2024-11-14,Paid Search,Mobile,Surabaya,16,1266,1,0,Lost
SESS0000070,CUST00675,2024-10-23,Direct,Mobile,Surabaya,9,1377,0,0,New
SESS0000071,CUST00599,2024-06-12,Organic,Mobile,Medan,15,198,0,0,Lost
SESS0000072,CUST01554,2024-12-09,Organic,Mobile,Jakarta,15,1034,0,0,Loyal
SESS0000073,CUST00700,2024-11-01,Social Media,Mobile,Jakarta,3,1795,0,0,Lost
SESS0000074,CUST00382,2024-11-03,Organic,Desktop,Jakarta,17,720,0,0,Lost
SESS0000075,CUST01378,2024-08-25,Email,Tablet,Surabaya,5,215,0,0,Loyal
SESS0000076,CUST00759,2024-10-22,Email,Mobile,Palembang,17,1696,0,0,Loyal
SESS0000077,CUST00536,2024-05-31,Paid Search,Mobile,Surabaya,4,273,1,0,At Risk
SESS0000078,CUST00454,2024-10-10,Organic,Mobile,Surabaya,2,1241,0,0,At Risk
SESS0000079,CUST00515,2024-11-30,Referral,Desktop,Makassar,15,1197,0,0,Loyal
SESS0000080,CUST01623,2024-11-01,Social Media,Mobile,Medan,4,833,0,0,Lost
SESS0000081,CUST01869,2024-12-28,Organic,Mobile,Jakarta,7,251,0,0,At Risk
SESS0000082,CUST01473,2024-05-15,Direct,Mobile,Bandung,9,140,1,0,Loyal
SESS0000083,CUST01311,2024-12-20,Social Media,Mobile,Bandung,1,1252,0,0,At Risk
SESS0000084,CUST00324,2024-02-19,Paid Search,Mobile,Bali,5,37,0,0,At Risk
SESS0000085,CUST00916,2024-08-27,Social Media,Mobile,Yogyakarta,17,1263,1,0,New
SESS0000086,CUST01514,2024-09-25,Social Media,Desktop,Jakarta,11,863,1,0,Champions
SESS0000087,CUST00476,2024-12-05,Organic,Desktop,Jakarta,18,462,0,0,Loyal
SESS0000088,CUST01380,2024-01-20,Organic,Mobile,Surabaya,1,1371,1,0,At Risk
SESS0000089,CUST00595,2024-04-13,Referral,Mobile,Surabaya,15,1246,0,0,Loyal
SESS0000090,CUST01884,2024-07-06,Email,Mobile,Jakarta,15,165,1,0,Champions
SESS0000091,CUST00156,2024-05-23,Social Media,Mobile,Bali,4,1106,1,0,New
SESS0000092,CUST00382,2024-03-18,Social Media,Desktop,Jakarta,8,683,0,0,Lost
SESS0000093,CUST00356,2024-04-12,Direct,Desktop,Palembang,5,1660,0,0,New
SESS0000094,CUST00928,2024-03-05,Paid Search,Desktop,Palembang,12,758,0,0,Champions
SESS0000095,CUST00299,2024-08-14,Direct,Desktop,Medan,14,754,0,0,New
SESS0000096,CUST01970,2024-08-19,Email,Mobile,Jakarta,9,141,0,0,At Risk
SESS0000097,CUST00879,2024-06-25,Social Media,Mobile,Jakarta,15,1204,0,0,New
SESS0000098,CUST00495,2024-08-19,Direct,Mobile,Bali,9,1220,0,0,At Risk
SESS0000099,CUST01082,2024-09-23,Direct,Desktop,Bali,3,1265,0,0,Loyal
SESS0000100,CUST01594,2024-07-12,Paid Search,Mobile,Jakarta,12,94,1,0,New
SESS0000101,CUST01773,2024-05-25,Organic,Desktop,Jakarta,16,472,0,0,Lost
SESS0000102,CUST00956,2024-10-21,Organic,Desktop,Jakarta,18,587,0,0,At Risk
SESS0000103,CUST01603,2024-03-28,Paid Search,Mobile,Depok,18,599,1,0,New
SESS0000104,CUST01952,2024-11-16,Social Media,Desktop,Jakarta,9,610,0,0,New
SESS0000105,CUST01712,2024-12-13,Paid Search,Mobile,Semarang,6,1282,0,0,Champions
SESS0000106,CUST00525,2024-04-07,Social Media,Mobile,Jakarta,1,188,0,0,At Risk
SESS0000107,CUST01153,2024-01-01,Organic,Desktop,Yogyakarta,8,315,0,0,At Risk
SESS0000108,CUST01594,2024-06-09,Referral,Mobile,Jakarta,2,1057,0,0,New
SESS0000109,CUST00349,2024-01-18,Organic,Desktop,Yogyakarta,14,1362,0,0,Loyal
SESS0000110,CUST00564,2024-11-24,Email,Mobile,Surabaya,11,1705,0,0,Loyal
SESS0000111,CUST00001,2024-10-04,Email,Mobile,Medan,2,1709,0,0,New
SESS0000112,CUST01367,2024-03-25,Organic,Mobile,Bandung,10,1001,1,0,Loyal
SESS0000113,CUST01163,2024-11-03,Organic,Mobile,Jakarta,11,884,0,0,Lost
SESS0000114,CUST00905,2024-04-06,Paid Search,Tablet,Jakarta,6,332,0,0,Lost
SESS0000115,CUST00580,2024-05-16,Paid Search,Mobile,Surabaya,14,1189,0,0,Loyal
SESS0000116,CUST01627,2024-01-12,Paid Search,Desktop,Bali,18,1661,1,0,Champions
SESS0000117,CUST00438,2024-12-22,Social Media,Mobile,Bali,2,871,0,0,New
SESS0000118,CUST01874,2024-03-08,Social Media,Mobile,Jakarta,16,287,0,0,At Risk
SESS0000119,CUST01710,2024-04-22,Email,Mobile,Semarang,12,1311,0,0,New
SESS0000120,CUST00858,2024-05-30,Referral,Desktop,Jakarta,13,83,0,0,Loyal
SESS0000121,CUST01566,2024-05-30,Direct,Desktop,Medan,11,523,0,0,New
SESS0000122,CUST00858,2024-11-12,Direct,Mobile,Jakarta,6,997,0,0,Loyal
SESS0000123,CUST01965,2024-12-21,Social Media,Mobile,Bali,3,1719,0,0,New
SESS0000124,CUST00809,2024-10-05,Direct,Desktop,Bali,1,429,0,0,Champions
SESS0000125,CUST00404,2024-10-08,Social Media,Mobile,Bali,17,72,1,0,Lost
SESS0000126,CUST00468,2024-05-18,Email,Mobile,Jakarta,5,229,0,0,New
SESS0000127,CUST00041,2024-09-26,Organic,Mobile,Bali,1,592,1,0,Champions
SESS0000128,CUST01613,2024-06-19,Organic,Tablet,Bali,5,1640,0,0,Loyal
SESS0000129,CUST00989,2024-09-16,Paid Search,Mobile,Bandung,18,1464,1,0,Loyal
SESS0000130,CUST01953,2024-01-22,Social Media,Desktop,Yogyakarta,8,1579,0,0,New
SESS0000131,CUST00271,2024-05-03,Organic,Tablet,Makassar,2,863,0,0,At Risk
SESS0000132,CUST01572,2024-05-05,Referral,Mobile,Medan,4,942,1,0,Lost
SESS0000133,CUST00560,2024-07-20,Social Media,Desktop,Semarang,13,1229,1,0,Champions
SESS0000134,CUST00016,2024-03-06,Organic,Mobile,Semarang,5,895,0,0,Loyal
SESS0000135,CUST00869,2024-10-15,Organic,Mobile,Jakarta,14,854,0,0,Loyal
SESS0000136,CUST01783,2024-09-27,Organic,Desktop,Yogyakarta,16,858,0,0,At Risk
SESS0000137,CUST00234,2024-09-05,Organic,Mobile,Medan,5,994,0,0,At Risk
SESS0000138,CUST01975,2024-04-02,Email,Mobile,Bali,13,267,1,0,Loyal
SESS0000139,CUST00430,2024-10-12,Email,Mobile,Palembang,11,793,0,0,At Risk
SESS0000140,CUST01423,2024-02-20,Email,Desktop,Surabaya,5,528,0,0,New
SESS0000141,CUST01635,2024-09-28,Organic,Desktop,Makassar,12,849,0,0,Champions
SESS0000142,CUST00286,2024-05-18,Email,Desktop,Medan,12,1527,0,0,New
SESS0000143,CUST00810,2024-07-03,Social Media,Mobile,Bali,8,279,1,0,Loyal
SESS0000144,CUST01950,2024-01-09,Organic,Desktop,Semarang,3,1049,0,0,Loyal
SESS0000145,CUST01798,2024-06-04,Email,Mobile,Surabaya,4,41,0,0,Loyal
SESS0000146,CUST01895,2024-07-24,Organic,Desktop,Jakarta,4,1483,1,0,At Risk
SESS0000147,CUST01240,2024-09-17,Organic,Desktop,Jakarta,11,366,0,0,Loyal
SESS0000148,CUST01164,2024-01-09,Organic,Mobile,Jakarta,12,1007,0,0,Lost
SESS0000149,CUST01400,2024-09-27,Paid Search,Tablet,Semarang,18,1110,0,0,Loyal
SESS0000150,CUST01276,2024-05-05,Social Media,Mobile,Surabaya,6,1603,1,0,Champions
SESS0000151,CUST00160,2024-10-28,Paid Search,Mobile,Bali,5,1515,0,0,Loyal
SESS0000152,CUST01093,2024-05-30,Organic,Desktop,Makassar,9,1659,0,0,At Risk
SESS0000153,CUST00055,2024-05-14,Direct,Mobile,Bali,11,1638,0,0,New
SESS0000154,CUST01508,2024-01-24,Social Media,Desktop,Bandung,5,536,0,0,At Risk
SESS0000155,CUST00771,2024-03-30,Social Media,Desktop,Surabaya,11,953,0,0,Champions
SESS0000156,CUST01011,2024-04-03,Paid Search,Mobile,Bandung,15,1556,0,0,Loyal
SESS0000157,CUST00483,2024-07-22,Organic,Mobile,Jakarta,10,1407,0,0,At Risk
SESS0000158,CUST00599,2024-12-18,Paid Search,Mobile,Medan,9,1731,0,0,Lost
SESS0000159,CUST00392,2024-03-22,Paid Search,Desktop,Jakarta,4,1262,0,0,At Risk
SESS0000160,CUST00246,2024-04-20,Paid Search,Mobile,Jakarta,15,55,0,0,At Risk
SESS0000161,CUST01561,2024-10-29,Email,Mobile,Bali,7,73,0,0,Loyal
SESS0000162,CUST00359,2024-08-28,Paid Search,Mobile,Jakarta,1,1330,0,0,New
SESS0000163,CUST01479,2024-03-19,Social Media,Mobile,Yogyakarta,4,1682,0,0,Loyal
SESS0000164,CUST01888,2024-02-22,Email,Mobile,Palembang,3,1477,0,0,At Risk
SESS0000165,CUST01196,2024-09-30,Organic,Mobile,Makassar,13,1185,0,0,Lost
SESS0000166,CUST01024,2024-12-12,Social Media,Mobile,Jakarta,5,450,0,0,Loyal
SESS0000167,CUST00589,2024-09-11,Social Media,Mobile,Yogyakarta,4,1558,0,0,New
SESS0000168,CUST00133,2024-03-04,Direct,Mobile,Semarang,14,1440,0,0,At Risk
SESS0000169,CUST00163,2024-12-12,Direct,Mobile,Depok,8,1419,1,0,New
SESS0000170,CUST00423,2024-04-01,Email,Mobile,Surabaya,9,1017,0,0,Loyal
SESS0000171,CUST01401,2024-07-30,Social Media,Mobile,Jakarta,17,1040,0,0,New
SESS0000172,CUST01115,2024-09-29,Email,Mobile,Surabaya,17,1146,0,0,At Risk
SESS0000173,CUST00441,2024-08-15,Organic,Mobile,Jakarta,16,991,0,0,New
SESS0000174,CUST01025,2024-09-22,Direct,Mobile,Jakarta,2,364,0,0,Loyal
SESS0000175,CUST00580,2024-09-17,Direct,Mobile,Surabaya,7,152,0,0,Loyal
SESS0000176,CUST00469,2024-06-23,Paid Search,Desktop,Jakarta,13,867,1,0,New
SESS0000177,CUST00710,2024-07-18,Email,Mobile,Jakarta,16,143,1,0,Loyal
SESS0000178,CUST01178,2024-04-21,Organic,Desktop,Bali,1,406,1,0,Loyal
SESS0000179,CUST01021,2024-06-18,Social Media,Desktop,Bandung,2,1000,0,0,Loyal
SESS0000180,CUST00510,2024-05-08,Organic,Mobile,Bandung,14,1689,0,0,Loyal
SESS0000181,CUST00445,2024-01-25,Social Media,Mobile,Yogyakarta,6,1005,0,0,New
SESS0000182,CUST00335,2024-02-28,Email,Mobile,Makassar,10,1604,0,0,New
SESS0000183,CUST00458,2024-07-06,Paid Search,Mobile,Surabaya,7,1637,1,0,Loyal
SESS0000184,CUST00160,2024-02-13,Direct,Desktop,Bali,17,470,1,0,Loyal
SESS0000185,CUST01228,2024-04-14,Organic,Desktop,Jakarta,5,619,1,0,Lost
SESS0000186,CUST01511,2024-06-10,Organic,Mobile,Makassar,11,646,0,0,Loyal
SESS0000187,CUST01857,2024-11-16,Organic,Mobile,Jakarta,6,1762,0,0,At Risk
SESS0000188,CUST00160,2024-08-31,Organic,Tablet,Bali,2,132,0,0,Loyal
SESS0000189,CUST01879,2024-03-26,Organic,Desktop,Jakarta,7,1219,0,0,Lost
SESS0000190,CUST00841,2024-08-17,Organic,Desktop,Jakarta,12,650,0,0,Lost
SESS0000191,CUST01026,2024-02-14,Organic,Mobile,Palembang,15,940,0,0,At Risk
SESS0000192,CUST00492,2024-01-20,Direct,Mobile,Bali,3,61,0,0,At Risk
SESS0000193,CUST01399,2024-10-30,Organic,Mobile,Medan,2,603,0,0,At Risk
SESS0000194,CUST00640,2024-08-23,Organic,Mobile,Semarang,2,468,1,0,Champions
SESS0000195,CUST01052,2024-01-05,Paid Search,Desktop,Semarang,11,1614,0,0,New
SESS0000196,CUST00354,2024-02-12,Organic,Desktop,Medan,6,988,0,0,At Risk
SESS0000197,CUST01722,2024-07-22,Paid Search,Mobile,Palembang,18,150,0,0,Champions
SESS0000198,CUST01473,2024-09-10,Paid Search,Mobile,Bandung,7,737,0,0,Loyal
SESS0000199,CUST00668,2024-02-09,Organic,Desktop,Bandung,12,667,1,0,Loyal
SESS0000200,CUST00835,2024-04-04,Organic,Mobile,Yogyakarta,12,1390,1,0,Loyal
SESS0000201,CUST00131,2024-08-26,Organic,Desktop,Bandung,14,1723,0,0,New
SESS0000202,CUST01842,2024-04-27,Organic,Desktop,Semarang,4,662,0,0,New
SESS0000203,CUST01085,2024-09-16,Organic,Mobile,Surabaya,10,584,0,0,Lost
SESS0000204,CUST01286,2024-04-05,Email,Tablet,Medan,1,478,0,0,Loyal
SESS0000205,CUST01510,2024-10-18,Social Media,Desktop,Jakarta,1,1339,0,0,Loyal
SESS0000206,CUST01156,2024-05-23,Paid Search,Mobile,Jakarta,6,964,0,0,New
SESS0000207,CUST00472,2024-04-20,Paid Search,Desktop,Makassar,8,355,0,0,New
SESS0000208,CUST00481,2024-12-26,Email,Mobile,Bali,17,1172,0,0,Lost
SESS0000209,CUST01339,2024-10-22,Organic,Desktop,Bandung,4,1505,0,0,At Risk
SESS0000210,CUST01614,2024-12-10,Organic,Mobile,Jakarta,10,1155,0,0,At Risk
SESS0000211,CUST01167,2024-01-27,Organic,Mobile,Medan,5,987,0,0,Loyal
SESS0000212,CUST00723,2024-10-13,Email,Desktop,Surabaya,2,1274,0,0,Loyal
SESS0000213,CUST01673,2024-01-27,Social Media,Desktop,Surabaya,12,1364,0,0,New
SESS0000214,CUST00174,2024-02-13,Email,Mobile,Yogyakarta,6,455,0,0,Loyal
SESS0000215,CUST00537,2024-08-05,Paid Search,Mobile,Bali,16,321,0,0,Loyal
SESS0000216,CUST00451,2024-04-02,Social Media,Mobile,Yogyakarta,15,1580,0,0,New
SESS0000217,CUST01955,2024-08-12,Paid Search,Desktop,Bandung,3,1216,0,0,New
SESS0000218,CUST00728,2024-10-18,Paid Search,Desktop,Surabaya,17,973,0,0,Champions
SESS0000219,CUST00450,2024-04-09,Paid Search,Mobile,Surabaya,3,780,0,0,New
SESS0000220,CUST00537,2024-10-21,Paid Search,Desktop,Bali,12,64,0,0,Loyal
SESS0000221,CUST01460,2024-06-11,Social Media,Desktop,Bali,3,736,0,0,New
SESS0000222,CUST00407,2024-02-20,Referral,Mobile,Jakarta,1,646,0,0,Lost
SESS0000223,CUST01141,2024-10-29,Paid Search,Mobile,Surabaya,11,595,0,0,New
SESS0000224,CUST01855,2024-02-16,Email,Desktop,Bandung,18,1251,0,0,Lost
SESS0000225,CUST00813,2024-02-06,Email,Mobile,Bali,8,308,0,0,Loyal
SESS0000226,CUST01815,2024-07-08,Organic,Desktop,Medan,5,1724,0,0,New
SESS0000227,CUST00048,2024-11-01,Email,Desktop,Jakarta,1,810,0,0,At Risk
SESS0000228,CUST00325,2024-11-03,Paid Search,Tablet,Medan,1,1345,0,0,At Risk
SESS0000229,CUST01533,2024-07-30,Direct,Desktop,Jakarta,11,1531,1,0,New
SESS0000230,CUST00865,2024-12-02,Email,Tablet,Yogyakarta,4,1194,0,0,Loyal
SESS0000231,CUST00059,2024-04-20,Organic,Mobile,Jakarta,7,552,0,0,Lost
SESS0000232,CUST00287,2024-07-17,Organic,Mobile,Jakarta,12,497,1,0,New
SESS0000233,CUST01692,2024-02-28,Paid Search,Mobile,Bali,12,1310,0,0,Loyal
SESS0000234,CUST01649,2024-03-08,Organic,Desktop,Jakarta,3,755,1,0,Champions
SESS0000235,CUST00710,2024-10-15,Direct,Mobile,Jakarta,11,1127,0,0,Loyal
SESS0000236,CUST01511,2024-03-15,Organic,Mobile,Makassar,8,312,0,0,Loyal
SESS0000237,CUST00131,2024-05-05,Organic,Mobile,Bandung,14,486,0,0,New
SESS0000238,CUST00231,2024-11-29,Email,Mobile,Jakarta,1,1659,0,0,New
SESS0000239,CUST01944,2024-01-01,Social Media,Desktop,Jakarta,15,231,0,0,New
SESS0000240,CUST00165,2024-06-01,Paid Search,Mobile,Jakarta,3,236,0,0,At Risk
SESS0000241,CUST01599,2024-01-21,Paid Search,Mobile,Bali,4,1293,0,0,Champions
SESS0000242,CUST01534,2024-03-01,Organic,Mobile,Bali,18,1536,0,0,Lost
SESS0000243,CUST00839,2024-01-12,Paid Search,Mobile,Semarang,16,144,1,0,At Risk
SESS0000244,CUST00386,2024-12-20,Social Media,Desktop,Jakarta,11,768,0,0,Champions
SESS0000245,CUST00157,2024-02-10,Organic,Desktop,Medan,5,1585,0,0,New
SESS0000246,CUST01789,2024-02-07,Organic,Mobile,Bali,4,254,0,0,Loyal
SESS0000247,CUST01754,2024-10-03,Organic,Mobile,Bandung,1,1055,0,0,Champions
SESS0000248,CUST01118,2024-03-28,Organic,Mobile,Jakarta,5,1539,1,0,New
SESS0000249,CUST00127,2024-05-24,Paid Search,Mobile,Depok,11,1347,0,0,Lost
SESS0000250,CUST01196,2024-05-14,Organic,Mobile,Makassar,8,1011,0,0,Lost
SESS0000251,CUST01516,2024-10-12,Organic,Mobile,Medan,12,755,0,0,At Risk
SESS0000252,CUST01555,2024-05-25,Direct,Mobile,Jakarta,15,1687,0,0,At Risk
SESS0000253,CUST01734,2024-05-25,Email,Desktop,Bandung,3,1176,0,0,Champions
SESS0000254,CUST00246,2024-10-26,Direct,Desktop,Jakarta,4,536,0,0,At Risk
SESS0000255,CUST00594,2024-09-16,Paid Search,Desktop,Bandung,10,1352,0,0,New
SESS0000256,CUST00707,2024-02-10,Organic,Desktop,Semarang,17,1320,0,0,New
SESS0000257,CUST00246,2024-04-28,Direct,Mobile,Jakarta,14,856,0,0,At Risk
SESS0000258,CUST01304,2024-03-26,Social Media,Mobile,Bandung,18,898,0,0,Loyal
SESS0000259,CUST01348,2024-06-17,Referral,Tablet,Surabaya,12,1017,0,0,Lost
SESS0000260,CUST01368,2024-03-13,Direct,Mobile,Semarang,15,1232,1,0,At Risk
SESS0000261,CUST01170,2024-11-05,Organic,Tablet,Surabaya,2,1692,0,0,Champions
SESS0000262,CUST00069,2024-01-31,Social Media,Mobile,Jakarta,7,1445,1,0,Champions
SESS0000263,CUST01569,2024-11-28,Direct,Desktop,Jakarta,9,370,0,0,Loyal
SESS0000264,CUST01198,2024-02-09,Social Media,Mobile,Semarang,7,47,1,0,Champions
SESS0000265,CUST01484,2024-08-12,Organic,Desktop,Bandung,15,1465,0,0,Lost
SESS0000266,CUST01678,2024-05-05,Organic,Mobile,Medan,4,847,0,0,Loyal
SESS0000267,CUST01130,2024-11-08,Social Media,Mobile,Jakarta,13,494,0,0,New
SESS0000268,CUST00706,2024-06-26,Referral,Mobile,Medan,12,553,0,0,New
SESS0000269,CUST01241,2024-08-29,Organic,Desktop,Jakarta,11,1508,0,0,New
SESS0000270,CUST00402,2024-01-06,Direct,Mobile,Yogyakarta,1,793,0,0,At Risk
SESS0000271,CUST01233,2024-11-14,Paid Search,Tablet,Jakarta,8,1617,0,0,Lost
SESS0000272,CUST01773,2024-07-25,Referral,Mobile,Jakarta,6,515,0,0,Lost
SESS0000273,CUST01777,2024-11-11,Email,Desktop,Jakarta,12,1054,0,0,At Risk
SESS0000274,CUST01581,2024-01-19,Email,Desktop,Yogyakarta,2,1625,0,0,Loyal
SESS0000275,CUST01433,2024-11-09,Email,Mobile,Surabaya,9,793,1,0,Loyal
SESS0000276,CUST00298,2024-12-25,Email,Mobile,Bandung,9,625,0,0,At Risk
SESS0000277,CUST00268,2024-04-01,Paid Search,Tablet,Medan,7,1022,1,0,Champions
SESS0000278,CUST01321,2024-05-09,Paid Search,Mobile,Semarang,12,200,0,0,Champions
SESS0000279,CUST01034,2024-02-04,Organic,Mobile,Yogyakarta,3,1022,0,0,At Risk
SESS0000280,CUST01194,2024-12-04,Organic,Desktop,Jakarta,16,1426,0,0,New
SESS0000281,CUST01457,2024-12-22,Paid Search,Mobile,Depok,8,929,0,0,Champions
SESS0000282,CUST00644,2024-07-05,Paid Search,Mobile,Yogyakarta,2,1376,1,0,New
SESS0000283,CUST00348,2024-11-08,Paid Search,Tablet,Bandung,15,1252,0,0,Champions
SESS0000284,CUST00832,2024-11-17,Social Media,Mobile,Semarang,5,227,0,0,Lost
SESS0000285,CUST00378,2024-02-26,Organic,Mobile,Makassar,10,1017,0,0,At Risk
SESS0000286,CUST01745,2024-03-09,Paid Search,Desktop,Medan,14,1108,0,0,At Risk
SESS0000287,CUST00889,2024-06-20,Social Media,Desktop,Yogyakarta,11,331,0,0,Loyal
SESS0000288,CUST01544,2024-11-08,Referral,Tablet,Bandung,13,1078,0,0,Loyal
SESS0000289,CUST01841,2024-04-26,Organic,Desktop,Bandung,18,1219,0,0,At Risk
SESS0000290,CUST01680,2024-04-26,Paid Search,Desktop,Surabaya,4,412,0,0,Loyal
SESS0000291,CUST01529,2024-06-08,Social Media,Mobile,Yogyakarta,16,50,0,0,Loyal
SESS0000292,CUST00161,2024-02-13,Direct,Mobile,Bandung,4,402,0,0,Champions
SESS0000293,CUST00648,2024-07-18,Referral,Desktop,Surabaya,12,1145,0,0,Lost
