order_id,customer_id,order_date,category,total_amount,items_count,status,acquisition_source,device,city,segment
ORD000195,CUST00048,2024-04-30,Apparel,114.12,3,Completed,Organic,Mobile,Jakarta,At Risk
ORD000196,CUST00048,2024-08-11,Electronics,104.03,2,Returned,Direct,Desktop,Jakarta,At Risk
ORD000197,CUST00048,2024-02-12,Apparel,107.71,5,Completed,Social Media,Desktop,Jakarta,At Risk
ORD000198,CUST00049,2024-02-02,Home & Garden,108.01,1,Completed,Paid Search,Mobile,Bali,New
ORD000199,CUST00049,2024-11-18,Sports,84.92,2,Completed,Email,Mobile,Bali,New
ORD000200,CUST00050,2024-02-26,Home & Garden,376.43,5,Completed,Social Media,Desktop,Surabaya,Champions
ORD000201,CUST00050,2024-11-09,Beauty,493.67,1,Completed,Social Media,Mobile,Surabaya,Champions
ORD000202,CUST00050,2024-05-19,Apparel,250.58,1,Completed,Social Media,Desktop,Surabaya,Champions
ORD000203,CUST00050,2024-08-15,Beauty,423.52,5,Completed,Paid Search,Mobile,Surabaya,Champions
ORD000204,CUST00050,2024-11-12,Apparel,308.37,3,Completed,Paid Search,Mobile,Surabaya,Champions
ORD000205,CUST00050,2024-10-01,Apparel,479.88,4,Completed,Organic,Mobile,Surabaya,Champions
ORD000206,CUST00050,2024-01-17,Electronics,549.43,4,Completed,Organic,Mobile,Surabaya,Champions
ORD000207,CUST00050,2024-10-20,Electronics,544.77,1,Completed,Direct,Mobile,Surabaya,Champions
ORD000208,CUST00050,2024-05-14,Beauty,481.6,1,Completed,Email,Mobile,Surabaya,Champions
ORD000209,CUST00050,2024-08-16,Electronics,566.45,1,Completed,Direct,Mobile,Surabaya,Champions
ORD000210,CUST00050,2024-10-30,Sports,331.48,3,Returned,Email,Desktop,Surabaya,Champions
ORD000211,CUST00050,2024-05-30,Food & Drink,449.23,5,Completed,Social Media,Desktop,Surabaya,Champions
ORD000212,CUST00050,2024-05-31,Electronics,272.12,2,Completed,Referral,Mobile,Surabaya,Champions
ORD000213,CUST00051,2024-03-05,Food & Drink,79.12,5,Completed,Direct,Mobile,Bandung,New
ORD000214,CUST00052,2024-06-15,Beauty,264.88,4,Completed,Organic,Mobile,Yogyakarta,Loyal
ORD000215,CUST00052,2024-11-01,Apparel,124.88,4,Completed,Email,Mobile,Yogyakarta,Loyal
ORD000216,CUST00052,2024-05-06,Beauty,227.31,3,Completed,Social Media,Mobile,Yogyakarta,Loyal
ORD000217,CUST00052,2024-09-14,Electronics,111.23,1,Completed,Paid Search,Mobile,Yogyakarta,Loyal
ORD000218,CUST00052,2024-07-04,Beauty,251.92,4,Completed,Organic,Mobile,Yogyakarta,Loyal
ORD000219,CUST00053,2024-11-04,Home & Garden,37.1,4,Completed,Paid Search,Mobile,Bandung,Lost
ORD000220,CUST00053,2024-08-30,Home & Garden,18.18,5,Completed,Direct,Mobile,Bandung,Lost
ORD000221,CUST00054,2024-02-24,Electronics,96.54,2,Completed,Social Media,Mobile,Jakarta,New
ORD000222,CUST00054,2024-02-03,Beauty,81.67,4,Cancelled,Organic,Mobile,Jakarta,New
ORD000223,CUST00055,2024-04-29,Beauty,99.07,3,Completed,Social Media,Mobile,Bali,New
ORD000224,CUST00055,2024-09-21,Apparel,151.92,5,Completed,Email,Desktop,Bali,New
ORD000225,CUST00056,2024-11-19,Beauty,146.64,3,Completed,Email,Mobile,Semarang,New
ORD000226,CUST00056,2024-05-16,Food & Drink,135.42,4,Completed,Organic,Desktop,Semarang,New
ORD000227,CUST00056,2024-02-28,Sports,140.36,5,Completed,Social Media,Tablet,Semarang,New
ORD000228,CUST00057,2024-04-23,Food & Drink,121.93,3,Completed,Paid Search,Desktop,Jakarta,At Risk
ORD000229,CUST00057,2024-03-03,Electronics,144.22,1,Completed,Email,Mobile,Jakarta,At Risk
ORD000230,CUST00058,2024-10-20,Apparel,99.72,5,Completed,Social Media,Desktop,Bandung,At Risk
ORD000231,CUST00058,2024-03-12,Apparel,146.05,3,Returned,Organic,Mobile,Bandung,At Risk
ORD000232,CUST00058,2024-08-08,Beauty,176.56,3,Completed,Social Media,Mobile,Bandung,At Risk
ORD000233,CUST00059,2024-12-13,Apparel,48.4,5,Completed,Social Media,Desktop,Jakarta,Lost
ORD000234,CUST00060,2024-02-23,Home & Garden,89.44,3,Completed,Social Media,Desktop,Jakarta,Loyal
ORD000235,CUST00060,2024-01-01,Electronics,231.26,1,Completed,Referral,Mobile,Jakarta,Loyal
ORD000236,CUST00060,2024-02-22,Electronics,311.45,3,Completed,Organic,Mobile,Jakarta,Loyal
ORD000237,CUST00060,2024-12-21,Home & Garden,188.58,5,Completed,Direct,Desktop,Jakarta,Loyal
ORD000238,CUST00060,2024-10-02,Books,287.07,4,Completed,Paid Search,Mobile,Jakarta,Loyal
ORD000239,CUST00061,2024-09-16,Sports,323.31,4,Completed,Social Media,Desktop,Medan,Loyal
ORD000240,CUST00061,2024-01-07,Apparel,82.28,3,Completed,Organic,Mobile,Medan,Loyal
ORD000241,CUST00061,2024-02-04,Food & Drink,329.43,2,Completed,Organic,Desktop,Medan,Loyal
ORD000242,CUST00061,2024-01-11,Apparel,155.46,5,Completed,Social Media,Desktop,Medan,Loyal
ORD000243,CUST00061,2024-08-26,Electronics,154.8,5,Completed,Email,Mobile,Medan,Loyal
ORD000244,CUST00062,2024-04-08,Books,93.94,1,Completed,Social Media,Desktop,Bali,Loyal
ORD000245,CUST00062,2024-12-21,Electronics,187.83,2,Completed,Organic,Desktop,Bali,Loyal
ORD000246,CUST00062,2024-07-03,Sports,98.92,5,Completed,Referral,Mobile,Bali,Loyal
ORD000247,CUST00062,2024-08-19,Sports,89.34,2,Completed,Organic,Mobile,Bali,Loyal
ORD000248,CUST00062,2024-05-09,Electronics,112.39,3,Completed,Direct,Desktop,Bali,Loyal
ORD000249,CUST00062,2024-01-28,Apparel,146.12,2,Cancelled,Organic,Desktop,Bali,Loyal
ORD000250,CUST00063,2024-02-12,Apparel,122.28,1,Completed,Email,Mobile,Jakarta,At Risk
ORD000251,CUST00063,2024-04-02,Books,106.42,2,Completed,Organic,Mobile,Jakarta,At Risk
ORD000252,CUST00064,2024-12-12,Sports,43.37,3,Completed,Direct,Mobile,Surabaya,At Risk
ORD000253,CUST00064,2024-07-26,Electronics,100.18,5,Cancelled,Email,Desktop,Surabaya,At Risk
ORD000254,CUST00064,2024-12-02,Home & Garden,72.3,5,Completed,Organic,Mobile,Surabaya,At Risk
ORD000255,CUST00064,2024-08-11,Apparel,77.66,1,Completed,Direct,Mobile,Surabaya,At Risk
ORD000256,CUST00065,2024-02-03,Sports,41.36,4,Cancelled,Organic,Desktop,Semarang,At Risk
ORD000257,CUST00065,2024-12-31,Apparel,80.84,5,Cancelled,Paid Search,Mobile,Semarang,At Risk
ORD000258,CUST00065,2024-10-24,Apparel,103.94,5,Completed,Direct,Desktop,Semarang,At Risk
ORD000259,CUST00065,2024-10-28,Electronics,123.54,2,Completed,Social Media,Mobile,Semarang,At Risk
ORD000260,CUST00066,2024-12-21,Beauty,113.95,5,Completed,Social Media,Tablet,Bandung,New
ORD000261,CUST00067,2024-02-18,Home & Garden,140.26,1,Completed,Organic,Desktop,Medan,At Risk
ORD000262,CUST00067,2024-03-11,Sports,61.31,5,Completed,Social Media,Tablet,Medan,At Risk
